"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1102","Accounting I","A functional and applied understanding of the accounting cycle and the preparation of financial statements is central to sound accounting pr... + Read More"
"2","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1103","Accounting and Finance Spreadsheets","The ability to utilize spreadsheet software in a consistent manner is an indispensable skill in modern business environments. Students learn... + Read More"
"3","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1208","Accounting Software Applications","Application of contemporary accounting software is central in the management of modern organizations. Using accounting software, students ap... + Read More"
"4","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","DAT1200","Business Information Systems","An important component in the success of any organization is the knowledge of current information systems. Students explore and apply variou... + Read More"
"5","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","LAW1100","Business Law","Knowledge of the Canadian legal system is essential to prudent financial management. Students learn about tort law and professional liabilit... + Read More"
"6","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1203","Accounting II","This intermediate financial accounting course builds upon foundational accounting knowledge essential for successful future accounting studi... + Read More"
"7","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1204","Income Tax I","A working knowledge of personal income tax is essential to financial planning. This course covers the fundamental principles and concepts of... + Read More"
"8","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1205","Introductory Management Accounting","Managers in all functional areas have to deal with the management accounting system of the organization they work for. Students acquire a ba... + Read More"
"9","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1303","Auditing Fundamentals","Possessing a working knowledge of auditing principles and procedures is important for any organization. Covering both internal and external ... + Read More"
"10","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","FIN1202","Corporate Finance","Students are introduced to financial concepts and management tools that are employable in daily practice. Students examine the corporate fin... + Read More"
"11","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1300","Accounting III","A working knowledge of liabilities and equities are fundamental concepts in the accounting profession. Topics include legal and financial as... + Read More"
"12","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1302","Intermediate Management Accounting","It is important to develop the professional competence and skills necessary to understand the requirements of management reporting. Strength... + Read More"
"13","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1304","Business Case","Students draw upon knowledge learned throughout the program to complete a capstone project that simulates authentic accounting and regulator... + Read More"
"14","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1305","Advanced Accounting","Understanding complex accounting topics is important to determining the effect on financial reporting and disclosure for organizations.  Thi... + Read More"
"15","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1301","Income Tax II","Understanding the integration and application of tax issues is essential to any corporate organization. Building upon the previous taxation ... + Read More"
"16","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1306","Applied External Audit","Students build on the introductory auditing principles and focus on external audit issues. Students will learn the process of sampling, prep... + Read More"
"17","Algonquin College","Accounting and Financial Practice","https://www.algonquincollege.com/business/program/accounting-and-financial-practice/","ACC1307","Public Sector Financial Management","Public Sector Financial Management is an elective course that focuses on how public sector entities make the best use of resources entrusted... + Read More"
