"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","FAE7000","Events and Facilities Management I","Action sports revolve around high profile events and leading-edge facilities. Students explore event management and facilities management pr... + Read More"
"3","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","GED7105","Professionalism and Ethics","Professionalism and ethics are the foundation for those preparing for leadership roles in the workplace, community and educational settings.... + Read More"
"4","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","MKT7100","Action Sports Media","Media plays a vital role in documenting and sharing the progression of action sports. Students look at the role of social media and build to... + Read More"
"5","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7118","Sustainable Singletrack Trail Construction","Sustainability and flow is the hallmark of modern trail building. Students incorporate principles of sustainability and flow into a singletr... + Read More"
"6","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7119","Bike Park Maintenance","Bicycle progression parks or skills parks have emerged as a valuable gateway asset to bring BMX and mountain biking into the community. Muni... + Read More"
"7","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7120","Dirt Features Fabrication","Students get their hands dirty with the creation of jump formation and lip shaping, banked turns and pump track layout, soil type and compac... + Read More"
"8","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7121","Skatepark Management","Skateparks have evolved from concrete bowl to wooden halfpipe to street and back to concrete. Students examine the evolution of skateparks b... + Read More"
"9","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","SAF7014","Chainsaw Safety","The chainsaw is the staple tool of the trail builder. Students focus on chainsaw safety, maintenance, use and handling, with an emphasis on ... + Read More"
"10","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","FAE7001","Events and Facilities Management II","Real-world experience in the delivery of action sports events is an asset to potential employers. Students build competency in managing diff... + Read More"
"11","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","MGT7029","Safety and Risk Management","Safety and risk management is the number one concern for land managers, municipal leaders and parents when it comes to action sports. Studen... + Read More"
"12","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","MKT7008","Action Sports Marketing","Business success in youth culture and the action sports marketplace relies upon brand authenticity and relating a story to potential users. ... + Read More"
"13","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7122","Snow Terrain Park Maintenance","Ski / snowboard terrain parks have become a staple for successful ski resorts. Students participate in the industry recognized ParkScapers t... + Read More"
"14","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7205","Ramp Fabrication","Skateparks and bike parks are the newest trend in action sports. Indoor parks rely upon failsafe construction and perfect transitions. Stude... + Read More"
"15","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","OAD7206","Action Sports Program Planning","Freestyle parks become a natural location to host programs, such as festivals and camps. Students examine management strategies that evolve ... + Read More"
"16","Algonquin College","Action Sports Parks Development","https://www.algonquincollege.com/pembroke/program/action-sports-park-development/","WEL7400","Introduction to Welding","Welding is a skill essential to the construction and maintenance of Action Sports Park features. Students develop basic welding skills by ap... + Read More"
