"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5001","Foundations for Advanced Care Paramedic Practice","An introduction and foundation for advanced care paramedic practice is provided. Emphasis is on roles and responsibilities, concepts in medi... + Read More"
"2","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5002","Advanced Airway Management, Respiratory Care and Communications","The student builds on existing knowledge of airway management and respiratory care. The student acquires skills and knowledge of advanced ai... + Read More"
"3","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5003","Advanced Cardiac Care","The student builds on existing knowledge of emergency cardiac care and management. The student learns to interpret cardiac dysrhythmias and ... + Read More"
"4","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5004","Advanced Care for Medical Emergencies","The student builds on existing knowledge of management and treatment of medical emergencies. Areas of focus include diabetes, seizures, cere... + Read More"
"5","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5005","Advanced Care for Trauma and Environmental Injuries","The student builds on existing knowledge of trauma and environmental emergencies. Emphasis is on kinematics, rapid assessment and advanced c... + Read More"
"6","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5006","Skills and Scenario-Based Practice","Newly acquired theoretical knowledge and advanced paramedic skills are integrated. Students apply critical thinking, advanced assessments an... + Read More"
"7","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5011","Hospital Practicum","Students integrate knowledge and perfect skills that they have practised and have been evaluated on in simulations. Advanced assessments, re... + Read More"
"8","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5015","Critical Appraisal of Research","Critical appraisal of research is an integral part of modern-day paramedicine. Students critique a variety of research topics related to par... + Read More"
"9","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5021","ACP Preceptorship","Students complete a placement in a paramedic service with an experienced preceptor/mentor. Students apply, integrate and consolidate skills ... + Read More"
"10","Algonquin College","Advanced Care Paramedic","https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/","PAR5022","Comprehensive Examinations","The student is scheduled to write a comprehensive examination in preparation for the Ontario Advanced Care Paramedic Licensing process. The ... + Read More"
