"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1601","Ad Workshop I","Students focus on layout and design principles. Students learn to create advertisements and other print material while they learn to enter, ... + Read More"
"2","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1616","Persuasion","Students are introduced to the various techniques used in persuasive communications from propaganda to source credibility.... + Read More"
"3","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1618","The Marketing Concept","An introduction to marketing concepts, the role of marketing departments, marketing, and the economy and the role of advertising is provided... + Read More"
"4","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1639","Switching on Your Right Brain","Students develop important skills in group dynamics, problem solving and creative thinking. Students explore various techniques that allow t... + Read More"
"5","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1695","Advertising I","Students explore the evolution and development of advertising in North America in a social, historical, economic and cultural context. The h... + Read More"
"6","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"7","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1602","Ad Workshop II","Students enhance their understanding of layout, print production and InDesign.Prerequisites: ADV1601 ... + Read More"
"8","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1619","Media Buying and Selling","Students are introduced to the elements within a media strategy including media objectives, media and vehicle selection and blocking charts.... + Read More"
"9","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1622","Copywriting 101","Students are provided with guidance in conceptual thinking and writing advertising strategies. Students learn the techniques to write headli... + Read More"
"10","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1623","Advertising II","Students learn the functions of advertising, its role in marketing communications mix, economics and social influence. They learn how compan... + Read More"
"11","Algonquin College","Advertising and Marketing Communications Management","https://www.algonquincollege.com/mediaanddesign/program/advertising/","ADV1679","How Consumers Get to Yes","The role of behavioural studies in the marketing/advertising process is introduced. Psychological factors that affect consumer buying proces... + Read More"
