"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1513","Life Drawing for Animation I","Life drawing is a fundamental skill for creating believability in our animated drawings of motion. Through the use of casts and models, the ... + Read More"
"2","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1550","Animation Design I","Animation design deals with the staging or environment that the animated character interacts with, whether it be a living room or forest loc... + Read More"
"3","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1557","Animation Practices and Principles I","The animation industry now relies on multiple tools in the production process. Students learn the principles of animation and how to apply t... + Read More"
"4","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1559","Environmental and Visual Problem Solving I","The ergonomics of design and the understanding of aesthetics through real world observation are essential skills for the animator. Students ... + Read More"
"5","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1592","Animation Drawing I","Animation drawing is the backbone of the industry. Using mostly traditional drawing techniques, complemented by 2D tradigital, students appl... + Read More"
"6","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"7","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1523","Life Drawing for Animation II","Animated sequences are created by caricaturing the movements of real human bodies. Students hone their sight measurement and gesture drawing... + Read More"
"8","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1551","Animation Design II","A good layout artist is able to evoke an emotional response from their audience. Students create more advanced layouts that include a firmer... + Read More"
"9","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1558","Animation Practices and Principles II","Students investigate character movement by applying the basic principles of animation to more complex animated movements such as shifting we... + Read More"
"10","Algonquin College","Animation Duration:3 Years, Campus:Ottawa","https://www.algonquincollege.com/mediaanddesign/program/animation/","ANI1593","Animation Drawing II","Students learn to develop the principles of animation to a higher level. Studies include animation of more complex actions. Body mechanics a... + Read More"
