"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","DAT7669","Microcomputer Applications for Radiation Safety","Competency using a variety of computer applications is an essential skill sought by employers. Topics covered include the use of email, word... + Read More"
"2","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","GED7666","Human Performance","Understanding how humans perform is critical for the safe and efficient operation of industrial facilities as it is a systematic means to en... + Read More"
"4","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","MAT7709","Mathematics for Radiation Safety","Radiation Protection Technicians need to perform and provide accurate calculations and assessments to protect the health and safety of thems... + Read More"
"5","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","SAF7602","Radiation Protection","Radiation Protection Technicians need to recognize the biological risks associated with radiation hazards and to be able to protect themselv... + Read More"
"6","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","SAF7603","Instrumentation I","Radiation Protection Technicians require a firm understanding of radiation detection equipment. This ensures that Radiation Protection Techn... + Read More"
"7","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","SCI7615","Sciences for Understanding Radiation Theory","Scientific concepts form the foundation on which nuclear and radiation principles are developed and applied. Students are introduced to the ... + Read More"
"8","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","PHY7016","Fundamentals of Physics","A conceptual understanding of physics is necessary to understand instrumentation, nuclear systems, and nuclear sciences. Students qualitativ... + Read More"
"9","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","SAF7604","Radiological Regulations and Requirements","The Nuclear Safety and Control Act provides the Canadian Nuclear Safety Commission (CNSC) with the authority to regulate the development, pr... + Read More"
"10","Algonquin College","Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/","SAF7613","Instrumentation II","Radiation Safety Technicians need to accurately and efficiently perform radiation surveys for a variety of radiological hazards in order to ... + Read More"
