"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","CST8107","Introduction to Programming and Problem Solving","Programming skills are becoming ever more important, quickly turning into the core competency for all kinds of engineering disciplines. Stud... + Read More"
"2","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"3","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","MAC8102","Machine Shop and Manufacturing Techniques","Many different manufacturing techniques exist for fabricating engineering components from various materials. The main focus is conventional ... + Read More"
"4","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","MAT6443","Calculus I","Differential calculus is the study of the definition, properties and applications of the derivative of a function. Students study limits of ... + Read More"
"5","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","PHY8103","Physics I","The world we live in cannot exist without the intricate interactions of fundamental forces of nature.  Advancements in technology, medicine,... + Read More"
"6","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","ROB8112","Introduction to Robotics","Newer robots are becoming a main stream of life and emerging technologies. While industrial robots have been used in manufacturing for decad... + Read More"
"7","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","CAD8202","CAD","Techniques for designing mechanical components have evolved over time from simple hand drawings and calculations to sophisticated computer m... + Read More"
"8","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","CST8203","Advanced Programming and Data Structures","Today's science and engineering are heavily associated with the use of computing technology in information processing that includes simulati... + Read More"
"9","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","MAT8202","Calculus II","Integral calculus is the study of the definitions, properties and applications of two related concepts, the indefinite integral and the defi... + Read More"
"10","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","MAT8203","Linear Algebra","Students are provided an introduction to the basic concepts and techniques of linear algebra including systems of linear equations, matrix o... + Read More"
"11","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
"12","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","PHY8203","Physics II","Physics provides a unified description of physical phenomena. Through the use of calculus, trigonometry and algebra, students develop more a... + Read More"
"13","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","ELN8304","Electrical and Electronic Circuits I","A cornerstone of the engineering field is electrical and electronic circuits. Students gain the theoretical and practical knowledge at an in... + Read More"
"14","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","ENG8332","Engineering Mechanics: Statics","Structural analysis is an essential consideration for any engineer tasked with design. In order to develop the ability to apply the principl... + Read More"
"15","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","GEO2300","Principles of Urban Planning","Increasingly cities and communities are feeling the pressure of expansion, and people from all walks of life feel disconnected from the proc... + Read More"
"16","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","MAT8204","Differential Equations","Physical situations such as beam deflection, harmonic motion, circuit theory or Newton's laws require solving first or second-order ordinary... + Read More"
"17","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","PLT1105","Introductory Optics","Students explore the physics of waves, optics and light propagation through lectures and lab experiments. Other topics include geometrical o... + Read More"
"18","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","SOC2000","Introduction to Sociology","When working with individuals and groups it is important to understand both the background and influences present. Students develop a famili... + Read More"
"19","Algonquin College","AuBachelor of Automation and Robotics (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/","ELN8402","Electrical and Electronic Circuits II","Knowledge of advanced topics in electric and electronic circuits is essential in many engineering disciplines.  Focus is on advanced topics ... + Read More"
