"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8844","Body and Frame Structure","Apprentices learn about vehicle construction and design, non-structural panel repair, metal finishing, bumper systems, and the types and use... + Read More"
"2","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8845","Refinishing I","Apprentices are introduced to the construction, types and applications of spray guns and spray booths. They learn about the composition of r... + Read More"
"3","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8846","Applied Mechanical I","Apprentices are introduced to personal computer skills, automotive electrical systems, battery fundamentals, air conditioning systems, tires... + Read More"
"4","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8847","Applied Work Practices","Emphasis is on shop and personal safety issues. An introduction to the proper use of shop tools and equipment is provided. Apprentices learn... + Read More"
"5","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8848","Welding I","Apprentices practise oxyacetylene welding, heating, cutting, Gas Metal Arc Welding (GMAW) and Plasma Arc Cutting. They practise welding diff... + Read More"
"6","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8850","Plastics Repair","Apprentices are introduced to repair procedures for non-reinforced plastics, sheet mold compound (SMC) panel repair, reinforced plastic repa... + Read More"
"7","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8851","Body and Structure","Apprentices acquire an understanding of corrosion and corrosion protection, frame measuring systems and the use of reference manuals, the pu... + Read More"
"8","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8852","Non-Structural Repair","Apprentices learn how to complete non-structural panel repairs, use body fillers, identify damage patterns and damage direction, and to foll... + Read More"
"9","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8855","Refinishing II","Apprentices build on their preparation and priming application skills and knowledge. Apprentices participate in the refinishing process and ... + Read More"
"10","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8886","Applied Mechanical II","Apprentices learn the principles of automotive heating, ventilation and cooling systems, as well as the basics of electrical and vacuum syst... + Read More"
"11","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8888","Welding II","Apprentices develop skills required for Shielded Metal Arc Welding (SMAW), refine skills in Gas Metal Arc Welding (GMAW) and learn the appli... + Read More"
"12","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8861","Damage Analysis and Estimating","Apprentices learn about the purpose of fundamental steps in damage analysis, explain the procedures for diagnosing frame and unibody structu... + Read More"
"13","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8862","Body, Frame and Structure","Apprentices learn about the purpose of fundamental steps in aluminum repair, demonstrate and perform manufacturer's repair procedures, as we... + Read More"
"14","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8865","Refinishing III","Apprentices learn the fundamentals of colour matching including the required formulae, applications of tinters and reasons for colour mismat... + Read More"
"15","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8866","Applied Mechanical III","The fundamentals of onboard computers are addressed and the function and construction features of onboard computers and electronic component... + Read More"
"16","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8878","Structural Panel Replacement","Apprentices learn the fundamental steps in the removal and replacement of structural panels, as well as the repair procedures. Apprentices a... + Read More"
"17","Algonquin College","Auto Body Repairer (Apprenticeship)","https://www.algonquincollege.com/sat/program/auto-body-repairer/","AUT8879","Alignment","Apprentices learn about vehicle alignment and the construction types, styles, and the applications of vehicle suspension system alignment an... + Read More"
