"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8801","Work Practices","Apprentices review the theory and applications of fasteners and tightening procedures, bearings, seals and sealants, precision measuring too... + Read More"
"2","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8803","Electrical, Electronics and Emission Systems I","Apprentices review the theory and applications of electrical fundamentals, electrical/electronic diagnostic test equipment, battery fundamen... + Read More"
"3","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8804","Drive Train Systems I","Apprentices review the theory and applications of clutches and flywheel assemblies, basic gear theory, manual transmission and transaxle fun... + Read More"
"4","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8806","Engine Systems I","Apprentices review the theory and applications of engine fundamentals, cylinder blocks and crankshaft assemblies.Co-requisites: AST8801 and ... + Read More"
"5","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8807","Suspension, Steering and Brake Systems I","Apprentices review the theory and applications of suspension systems, frames, steering systems, tires, rims and hydraulic brake fundamentals... + Read More"
"6","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8310","Air Conditioning Systems","Apprentices review the theory and applications of heating and ventilation systems, air conditioning fundamentals, and repairer's rights and ... + Read More"
"7","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8312","Electrical, Electronics and Emission Systems II","Apprentices review the theory and applications of electrical circuit calculations, diagnostic test equipment, cranking systems and control c... + Read More"
"8","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8313","Drive Train Systems II","Apprentices review the theory and applications of front and rear wheel drive drivelines, transfer cases, torque converter assemblies, automa... + Read More"
"9","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8314","Suspension, Steering and Brake Systems II","Apprentices review the theory and applications of suspension system fundamentals and servicing, manual and power assisted steering systems, ... + Read More"
"10","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8316","Engine Systems II","Apprentices review the theory and applications of valve trains and camshafts, cylinder heads, turbochargers and superchargers.Prerequisites:... + Read More"
"11","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8320","Climate Control Systems","Apprentices review the theory, applications and diagnosis of air conditioning systems, and body and trim.Prerequisites: AST8310 Co-requisite... + Read More"
"12","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8324","Suspension, Steering and Brake Systems III","Apprentices review the theory, application and diagnosis of power assisted brakes, anti-lock brakes, electronic braking, tire pressure monit... + Read More"
"13","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8325","Electrical, Electronics and Emission Systems III","Apprentices review the theory, application and diagnosis of computer fundamentals, supplemental restraint systems, distributorless ignition ... + Read More"
"14","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8326","Engine Systems III","Apprentices review the theory, application and diagnosis of engine cooling systems, accessory drive belts and pulleys, lubrication systems, ... + Read More"
"15","Algonquin College","Automotive Service Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician/","AST8327","Drive Train Systems III","Apprentices review the theory, application and diagnosis of automatic transmission and transaxle pumps hydraulic systems and operations, ele... + Read More"
