"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8613","Work Practices I","This course supplies knowledge to identify and select safe work procedures, power and hand tools, fasteners and tightening procedures, beari... + Read More"
"2","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8614","Engine Systems I","This course familiarizes apprentices with the operating theory of the internal combustion engine. The theory and applications of engine fund... + Read More"
"3","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8615","Drive Train Systems I","This course familiarizes apprentices with the types and styles of automotive drivelines. The operating principles of clutches and standard t... + Read More"
"4","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8616","Electrical/Electronics and Emissions Systems I","This course covers the theory and applications of electrical fundamentals, electrical/electronic diagnostic test equipment, electrical circu... + Read More"
"5","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8618","Suspension/Steering and Brake Systems I","This course familiarizes apprentices with the operating principles of suspension, steering and brake systems. Emphasis is placed on safety a... + Read More"
"6","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8623","Work Practices II","This course supplies knowledge to identify and select safe work procedures on Body Mechanical Systems and Adjustments. Emphasis is placed on... + Read More"
"7","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8624","Engine Systems II","In this course, apprentices identify disassembly and assembly procedures for Overhead Camshaft (OHC) internal combustion engines. Emphasis i... + Read More"
"8","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8625","Drive Train Systems II","This course familiarizes apprentices with the types and styles of standard transmissions and transaxles. Introductory information relating t... + Read More"
"9","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8626","Electrical/Electronics and Emission Systems II","This course provides electrical knowledge to identify, describe, and diagnose integrated electronic systems and accessories. Included is the... + Read More"
"10","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8628","Suspension/Steering and Brake Systems II","This course familiarizes apprentices with the servicing and adjustment procedures for suspension, steering and brake systems. Emphasis is pl... + Read More"
"11","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8632","Electrical/Electronics and Emission Systems III","This course gives apprentices the opportunity to learn the terminology, construction, operating fundamentals, and diagnostic routines used i... + Read More"
"12","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8633","Climate Control Systems I","This course covers operating and servicing procedures for automotive air conditioning systems. Emphasis is placed on safe operating procedur... + Read More"
"13","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8634","Engine Systems III","This course prepares apprentices to diagnose and repair internal combustion engines. Emphasis is placed on developing a diagnostic approach ... + Read More"
"14","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8635","Drive Train Systems III","In this course, the apprentice studies various types of torque converters and automatic transmissions. The fundamentals, operating principle... + Read More"
"15","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8638","Suspension/Steering and Brake Systems III","This course familiarizes the apprentice mechanic with an in-depth study of vehicle suspension and steering systems. The operation and servic... + Read More"
"16","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8643","Climate Control Systems II","This course covers operating and servicing procedures for advanced air conditioning systems. Upon completion of this course, apprentices are... + Read More"
"17","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8644","Engine Systems IV","This course prepares apprentices for in-depth diagnosis and repair of internal combustion engines. With the aid of advanced equipment and to... + Read More"
"18","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8645","Drive Train Systems IV","This course emphasizes the fundamentals, construction and operation of electronically controlled transmissions. The theory of operation, fun... + Read More"
"19","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8648","Suspension/Steering and Brake Systems IV","This course familiarizes apprentices with the operation and servicing procedures for steering systems components. Throughout the course, emp... + Read More"
"20","Algonquin College","Automotive Service Technician (GM-ASEP) (Apprenticeship)","https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/","AST8649","Electrical/Electronics and Emission Systems IV","This course is designed to provide apprentice mechanics with advanced diagnosis and test procedures involved in the repair of distributorles... + Read More"
