"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC2200","Building Systems","Through readings, discussion, and primary research using living lab tools, students explore the electrical, plumbing and safety systems that... + Read More"
"2","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC3100","Renewable Energy","The energy demands of new and existing buildings are an expense that many building owners and managers have accepted as a requirement, but e... + Read More"
"3","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","ENG1100","Thermodynamics","Engineering-related disciplines, such as building science, draw heavily on a variety of sciences in order to identify, describe and solve pr... + Read More"
"4","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","GEO2300","Principles of Urban Planning","Increasingly cities and communities are feeling the pressure of expansion, and people from all walks of life feel disconnected from the proc... + Read More"
"5","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","MAT8205","Statistics and Probability","Students review basic statistics operations including probability, random sampling, variability, and the binomial, normal and Poisson's dist... + Read More"
"6","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","MGT3100","Introduction to Construction Project Management","It might reasonably be said that the only constant in a construction project is the variables. Students focus their attention on the dynamic... + Read More"
"7","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BIO2200","Botany","Biologists with an interest in plant life may choose to specialize in botany. Beginning with the organic features of life, focusing on plant... + Read More"
"8","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC3200","Alternative Energy","Students extend their knowledge of energy sources through a consideration of non-fossil fuel options that are currently available or being r... + Read More"
"9","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC3300","Energy Conservation and Auditing","In buildings of all sizes for all types of applications, essential components in the establishment and preservation of environmental comfort... + Read More"
"10","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","CAD3200","Building Information Modeling","In construction and the building lifecycle process, alignment and improvement of both qualitative and quantitative metrics is guaranteed in ... + Read More"
"11","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","ENG3100","Heat Transfer","Students further develop their problem-solving abilities through a continued exploration of the theoretical and practical applications of mo... + Read More"
"12","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","WKT3500","Work Term II","Immediately following academic term six, the second co-op placement provides students with experiential opportunities within the constructio... + Read More"
"13","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC4100","Applied Energy Management","Using existing and emerging research available from a variety of related disciplines, students examine new and accredited hardware, and soft... + Read More"
"14","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC4200","Professional Portfolio Development","Using a guided workshop format, students review their experience and education to date and look ahead to the requirements for employment. Th... + Read More"
"15","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC4300","Building Science Research Project I","Working individually or in small teams, students engage in a research project that contributes to the body of knowledge in applied building ... + Read More"
"16","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","CAD4100","Energy Modelling and Simulation","Students explore a number of advanced software tools that use powerful analytical mechanisms to model the whole building during the design o... + Read More"
"17","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","ENL4100","Creative Writing","Whether for personal or public consumption, many people enjoy writing short fiction to express their creative energy while improving upon th... + Read More"
"18","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","ENL4200","New Worlds and Alternative Realities: Speculative Fiction","Speculative fiction gathers together all those works of fiction in which new worlds or alternative realities are envisioned.  Within this ca... + Read More"
"19","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4000","Philosophy and Popular Culture","Many facets of today's popular culture engage, directly or indirectly, with the concerns of a variety of philosophical traditions. Drawing o... + Read More"
"20","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4002","The Philosophy of Drugs","Drugs are everywhere: professionals prescribe them to us to make us ""better""; we take them recreationally; we give them to our children, pet... + Read More"
"21","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4003","The Philosophy of Love and Sex","Love and sex are central to the human condition, and have been topics of academic inquiry and controversy throughout history. Various practi... + Read More"
"22","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4004","Technology,Society and the Environment","Environmental issues have come to occupy a central place in the marketplace, politics, policy, and society at large. Owing largely to the ma... + Read More"
"23","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4100","Survival in the Information Age: Risk and the Media","On an almost daily basis, the media, through its various outlets - television, radio, web sites, RSS, and podcasts - reports on issues that ... + Read More"
"24","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHY4000","Black Holes, Big Bangs and the Cosmos","The dynamic and exciting field of Cosmology outlines our current understanding of the Universe from its start, at the so-called Big Bang, th... + Read More"
"25","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","SOC4000","Criminology","The interdisciplinary study of social science examining the individual and social aspects of crime is known as criminology. Students work th... + Read More"
"26","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","SOC4001","Global Perspectives","Sociology, through its exploration of the organization of society and the connections between people and their surroundings, provides new wa... + Read More"
"27","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC4350","Building Science Research Project II","Students complete the research project that was started in the previous semester. The research project is presented to peers and faculty in ... + Read More"
"28","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","BSC4400","Seminar in Sustainable Solutions","In this collaborative learning experience, students research and hypothesize about the direction sustainable solutions may take in the years... + Read More"
"29","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","CON4200","Construction Methods for Renovation and Rehabilitation","Building from scratch is not always the most feasible solution in today's marketplace, and so owners turn to renovation and rehabilitation a... + Read More"
"30","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","MGT4200","Scenarios in Team Leadership","With the prevalence of team and project-based organizational models in the construction industry, skills in team participation and leadershi... + Read More"
"31","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","ENL4100","Creative Writing","Whether for personal or public consumption, many people enjoy writing short fiction to express their creative energy while improving upon th... + Read More"
"32","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","ENL4200","New Worlds and Alternative Realities: Speculative Fiction","Speculative fiction gathers together all those works of fiction in which new worlds or alternative realities are envisioned.  Within this ca... + Read More"
"33","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4000","Philosophy and Popular Culture","Many facets of today's popular culture engage, directly or indirectly, with the concerns of a variety of philosophical traditions. Drawing o... + Read More"
"34","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4002","The Philosophy of Drugs","Drugs are everywhere: professionals prescribe them to us to make us ""better""; we take them recreationally; we give them to our children, pet... + Read More"
"35","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4003","The Philosophy of Love and Sex","Love and sex are central to the human condition, and have been topics of academic inquiry and controversy throughout history. Various practi... + Read More"
"36","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4004","Technology, Society and the Environment","Environmental issues have come to occupy a central place in the marketplace, politics, policy, and society at large. Owing largely to the ma... + Read More"
"37","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHI4100","Survival in the Information Age: Risk and the Media","On an almost daily basis, the media, through its various outlets - television, radio, web sites, RSS, and podcasts - reports on issues that ... + Read More"
"38","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","PHY4000","Black Holes, Big Bangs and the Cosmos","The dynamic and exciting field of Cosmology outlines our current understanding of the Universe from its start, at the so-called Big Bang, th... + Read More"
"39","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","SOC4000","Criminology","The interdisciplinary study of social science examining the individual and social aspects of crime is known as criminology. Students work th... + Read More"
"40","Algonquin College","Bachelor of Building Science (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/","SOC4001","Global Perspectives","Sociology, through its exploration of the organization of society and the connections between people and their surroundings, provides new wa... + Read More"
