"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","BSC1100","Introduction to Building Science","Students explore buildings and the inter-connectedness of the constituent features and systems that make up a building. In addition to the s... + Read More"
"2","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","CON1100","Space and Place: Site Development and Built Environments","A wide array of variables play an important role in the on-going success of buildings after the construction phase has been completed. Stude... + Read More"
"3","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","DAT1100","Computer Applications for Design and Reporting I","Office productivity suites and computer-aided design applications are an important part of the design and reporting that takes place in the ... + Read More"
"4","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","DSN1200","Building Design Processes","Through a variety of team-based simulations, students engage in aspects of the building design process in order to develop both a feel for t... + Read More"
"5","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"6","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","MAT6443","Calculus I","Differential calculus is the study of the definition, properties and applications of the derivative of a function. Students study limits of ... + Read More"
"7","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","CAD1200","Computer Applications for Design and Reporting II","Drawing on prior knowledge, students continue their work with computer-aided design tools. Through a combination of instructor-led and self-... + Read More"
"8","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","ELE1200","Electricity and Power Generation Fundamentals","Students acquire some fundamental knowledge of the way in which electricity is generated. Discussions and exercises focus on addressing ques... + Read More"
"9","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","MAT8202","Calculus II","Integral calculus is the study of the definitions, properties and applications of two related concepts, the indefinite integral and the defi... + Read More"
"10","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
"11","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","SCI1200","Materials Science","Students gain an up-close, hands-on sense of the physical, chemical, and aesthetic characteristics of materials used in the construction ind... + Read More"
"12","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","BSC2100","Building Frame and Structural Studies","Building frames and structures endure a variety of different strains and stresses over the lifespan of a building. Additional expected and u... + Read More"
"13","Algonquin College","Bachelor of Building Science (Honours) (Co-op)","https://www.algonquincollege.com/acce/program/bachelor-of-building-science/","ENG1100","Thermodynamics","Engineering-related disciplines, such as building science, draw heavily on a variety of sciences in order to identify, describe and solve pr... + Read More"
