"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","ACC4101","Financial Accounting","Generally accepted accounting principles are widely used as benchmarks throughout business. Students explore the role of financial accountin... + Read More"
"2","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","DAT4101","Spreadsheet Applications","Spreadsheets are commonly used across business to display financial information and other data relevant to running a business.  Students cul... + Read More"
"3","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","ECO4101","Microeconomics","Microeconomics studies the behavior of individuals and the market to help businesses make decisions on the allocation of resources.  Centeri... + Read More"
"4","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"5","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","MGT4102","Business Fundamentals","In today's growing global economy, organizations are facing many new, diverse and competing challenges that have significant impact on their... + Read More"
"6","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","MKT4101","Marketing","Consumers and business professionals are continuously influenced by marketing. Students obtain an overview of the marketing function and its... + Read More"
"7","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","ACC4201","Managerial Accounting","Managerial accounting is the process of identifying, analyzing, recording and presenting financial information that is used for internal pla... + Read More"
"8","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","ECO4201","Macroeconomics","Macroeconomics is a social science that examines the objectives and policies that affect the whole economy.  Students explore the principles... + Read More"
"9","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","ESC4201","Management Information Systems","Information systems and their impact play a vital role for a successful business manager. Students focus on the study of Information Systems... + Read More"
"10","Algonquin College","Bachelor of Commerce (e-Supply Chain Management) (Honours) (Co-op)","https://www.algonquincollege.com/business/program/bachelor-of-commerce-e-supply-chain-management/","MGT4201","Product Planning and Manufacturing Processes","Students develop their ability to identify the significant product or service opportunities throughout manufacturing and bring them to marke... + Read More"
