"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"2","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","ESC4102","Microeconomics","Microeconomics studies the behaviour of individuals and the market to help businesses make decisions on how best to allocate resources. Stud... + Read More"
"3","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","FOD6101","Food and Beverage Studies","Students are introduced to the food and beverage sector of the hospitality industry. Students explore the importance of food and beverage se... + Read More"
"4","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","GEP1001","Cooperative Education Readiness","Students are guided through a series of activities which prepares them for their co-op job search term.  Through a detailed orientation stud... + Read More"
"5","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","HOS6100","Foundations of Hospitality and Tourism Management","Students examine the foundations of the conceptual framework aspects related to the industry, including accommodations, food and beverage se... + Read More"
"6","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","HOS6102","Hotel Operations","The hotel operations environment is explored introducing students to the unique characteristics and management challenges presented by the a... + Read More"
"7","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","ACC6104","Financial Accounting","Students learn basic accounting principles and the accounting process. Students examine the role of financial accounting from a user perspec... + Read More"
"8","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","DAT6107","Computer Applications","In today's business environment the ability to leverage technology to communicate and manage information is critical. Students develop and p... + Read More"
"9","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","ENL6101","Business Communications","Successful managers must be able to communicate effectively using a wide range of written, audio, and visual techniques. Students expand the... + Read More"
"10","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","ESC4203","Macroeconomics","Macroeconomics is a social science that examines the objectives and policies that affect the whole economy. Students explore the principles ... + Read More"
"11","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","FOD6103","Food and Beverage Operations","Students apply the principles and techniques taught in Food and Beverage Studies. Through weekly laboratory sessions in the College's studen... + Read More"
"12","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
"13","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","WKT6100","Co-Op Work Term I","Students are provided with experiential learning opportunities directly related to the hospitality and tourism industry. Focus for this firs... + Read More"
"14","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","ACC6107","Managerial Accounting","Students explore managerial accounting techniques. Background, goals and methods of managerial accounting including product costing, travel ... + Read More"
"15","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","FOD6109","Food Production and Service","Students are introduced to food selection, preparation and service in a quantity food kitchen. Through lecture and practical instruction in ... + Read More"
"16","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","MGT6105","Customer Management","Students are exposed to the concept of building a great customer experience and align the vital contribution of service to anticipating and ... + Read More"
"17","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","MKT6108","Introduction to Hospitality and Tourism Marketing","Marketing is vital to the success of all hospitality and tourism businesses and organizations. Students are introduced to concepts, definiti... + Read More"
"18","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","TOU6130","Global Tourism","Tourism studies draw on the framework of geographical analysis by using relevant principles to contextualize destinations within their surro... + Read More"
"19","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","HOS6112","Conference and Event Management","Students acquire an understanding of the role conferences and events play within the hospitality and tourism industry. Students learn about ... + Read More"
"20","Algonquin College","Bachelor of Hospitality and Tourism Management (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/","HOS6115","Cost Control in Hospitality and Tourism","The importance of controlling expenses in food service, attractions retail and lodging operations is demonstrated. Students explore topics, ... + Read More"
