"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0017","Construction I","The creation of good interior spaces depends upon knowing how buildings are constructed and finished. Knowledge of basic structures and conc... + Read More"
"2","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0019","Visual Communication I","Good drawing skill is an essential tool for the interior designer. In this course, students learn to communicate their ideas, concepts and t... + Read More"
"3","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0020","Foundations I","This course is an introduction to the global profession of Interior Design with a focus on domestic spaces using the human body as a frame o... + Read More"
"4","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4015","Design Studio I","An introduction to the two-dimensional and three-dimensional world is provided. Students are introduced to the design vocabulary and to the ... + Read More"
"5","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"6","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0021","Construction II","Understanding how materials are used in the construction and finishing of interior spaces is an important aspect of Interior Design. Typical... + Read More"
"7","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0022","Visual Communication II","Interior designers think and communicate in two- and three-dimensions. Students continue to explore sketching and drawing as a means of comm... + Read More"
"8","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0023","Foundations II","This course takes an examined look at our relationship with furnishings, furniture, objects and artefacts over time and how these objects ha... + Read More"
"9","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4027","Design Studio II","Students continue to examine the dialectic between form and space through the creation of abstract and increasingly tangible three-dimension... + Read More"
"10","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4091","Community Connection I","The spirit of volunteerism and community involvement is an important professional goal. Participating in industry and college events and act... + Read More"
"11","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
"12","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0024","Construction III","Sustainable construction and alternative building technologies are pertinent to residential and small scale interior environments constructi... + Read More"
"13","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0025","Visual Communication III","Learners develop their visual communication skills through the continued study of digital modelling and drawing as a means to communicate de... + Read More"
"14","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0026","Foundations III","This course is an introduction to the global profession of Interior Design with a focus on public/commercial spaces using the human body as ... + Read More"
"15","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4037","Design Studio III","Students synthesize the diverse built form, issues discussed in previous design studios, shift to a more thorough investigation of interior ... + Read More"
"16","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","PHI2000","Introduction to Research","Academic research requires students to possess a fundamental knowledge of accepted methodologies and practices. An overview of the research ... + Read More"
"17","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","SOC2000","Introduction to Sociology","When working with individuals and groups it is important to understand both the background and influences present. Students develop a famili... + Read More"
"18","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0027","Construction IV","Students study the integration and coordination of building components in the retail interior environment. Students examine the principles o... + Read More"
"19","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0028","Foundation IV","This course takes an examined look at the current major forces shaping and influencing the interior design profession. Topics for study are ... + Read More"
"20","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0029","Visual Communication IV","Students strengthen their working knowledge in digital applications to create drawings and graphic presentation packages. Students develop t... + Read More"
"21","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4042","Materials and Products I","Students are introduced to the importance of appropriate products and materials for the built environment. Students examine the designer's r... + Read More"
"22","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4047","Design Studio IV","Students synthesize knowledge obtained in previous courses to complete studio assignments centred upon the design of environments with an em... + Read More"
"23","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN4092","Community Connection II","The spirit of volunteerism and community involvement is an important professional goal. Participating in industry and college events and act... + Read More"
"24","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","PSY2100","Introductory Psychology","With its applications to behaviour and personality, psychology extends its reach into many aspects of our personal lives. The broad applicat... + Read More"
"25","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0030","Construction V","Students are introduced to the process of producing contract documents for a commercial space. They determine code restrictions, understand ... + Read More"
"26","Algonquin College","Bachelor of Interior Design (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/","DSN0031","Visual Communication V","In this advanced course, students build on their previous experience with digital software tools to expand and amplify design ideas. More ad... + Read More"
