"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"2","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1000","Principles of Public Safety Protection","Security professionals apply the principles of public safety protection in order to protect personnel, assets and information. Students deve... + Read More"
"3","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1001","Principles and Practice of Emergency Management","Emergency management principles inform the practices and application within the field. Students will situate emergency management in its evo... + Read More"
"4","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1010","Crime Prevention","Security professionals must understand why and how crime is committed and also mitigated through crime prevention strategies used in the com... + Read More"
"5","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1023","Legislative Applications and Policies in Security and Emergency Management","Security and emergency management must adhere to legal and legislative frameworks within Canada and internationally.  These sectors are also... + Read More"
"6","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","ENL2025","Interpersonal Communication","Effectively communicating with others, both professionally and personally, is an art that requires conscious development. Students address t... + Read More"
"7","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","INV0001","Investigations and Interviewing Techniques","The conduct of investigations and the interviewing of complainants, witnesses and subjects is a crucial role for security specialists. It is... + Read More"
"8","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
"9","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1016","Management of Crises","Every crisis or disaster is unique but there are general principles that enable their management. Students explore the fundamental principle... + Read More"
"10","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SOC2000","Introduction to Sociology","When working with individuals and groups it is important to understand both the background and influences present. Students develop a famili... + Read More"
"11","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","PHI2002","Ethical Decision Making","To avoid potential prosecution, companies and their employees are well-advised to engage in ethical decision-making practices in all busines... + Read More"
"12","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1003","Extraordinary Threats to Public Order","Democratic societies face extraordinary threats such as terrorism, violent extremism, information security predicts and weapons of mass dest... + Read More"
"13","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1008","Public Safety Policy","Public safety policy informs direction and action at all levels of government. Students develop a fundamental understanding of policy -- its... + Read More"
"14","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1012","Awareness and Training","Awareness is a key pillar for effective public safety programs in the workplace and in society in general. Through projects with our public ... + Read More"
"15","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1017","Hazard Risk Management","The ability to understand community-specific risks is fundamental to being able to identify vulnerability and prepare for, respond to, and r... + Read More"
"16","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","GEP1001","Cooperative Education Readiness","Students are guided through a series of activities which prepares them for their co-op job search term.  Through a detailed orientation stud... + Read More"
"17","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","ISS0001","Information Technology Security Concepts","Threats to information technology (IT) systems and networks are of great concern to governments, businesses and individuals. Each new electr... + Read More"
"18","Algonquin College","Bachelor of Public Safety (Honours) (Co-op)","https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/","SEC1004","Critical Infrastructure Protection","Critical infrastructure is essential for the health, safety, security and economic well-being of Canadians and the effective functioning of ... + Read More"
