"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","ENL1813H","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2144","Baking I - Theory","Students acquire essential, practical knowledge to produce commercial bakery products. Students review major baking ingredients and their co... + Read More"
"3","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2146","Baking Practical I","Students develop essential, practical skills to produce basic commercial bakery products. Students review basic production principles and ga... + Read More"
"4","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","HOS2143","Shop Management and Sanitation","Students develop an understanding of formula costing; metric and imperial systems; bakery formulation; formula yield conversion, formula bal... + Read More"
"5","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","HOS2288","The Dinner Party","Table manners are as unique to a culture as the foods they eat - how people eat varies widely from country to country. Participants in this ... + Read More"
"6","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FLD0095","Field Placement - Baking and Pastry Arts I","Real-world practical experience allows baking professionals to further develop and refine their skills. Students benefit from opportunities ... + Read More"
"7","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2151","Baking II - Theory","Students acquire detailed practical knowledge required of professional bakers. Students gain required knowledge by reviewing major baking in... + Read More"
"8","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2156","Cake Decorating Techniques","Students decorate special-occasion cakes and a three-tier wedding cake, learn to make and use rolled fondant, cake-writing skills, pipe flow... + Read More"
"9","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2166","Baking Practical II","Students acquire comprehensive, practical skills required of professional bakers. Students review baking principles and gain confidence in s... + Read More"
"10","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","HOS2153","Shop Management and Entrepreneurship I","Students are introduced to basic concepts related to entrepreneurship. Students gain detailed knowledge and practical skills in basic bakery... + Read More"
"11","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","ENL1823H","Communications II","Employers emphasize the need for communication skills that are effective in challenging workplace situations. Using a practical, vocational ... + Read More"
"12","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2129","Nutrition and Food Preparation","A poor diet may have a harmful impact on health, and many food service customers in contemporary society have specific nutritional and dieta... + Read More"
"13","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2148","Sugar Techniques and Artistry","Sugar is often the primary component in the creation of exquisite shapes and designs in the art of pastry. Students develop advanced skills ... + Read More"
"14","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2149","Chocolate Techniques and Artistry","Chocolate is a primary component in the creation of exquisite shapes and designs in making candies, showpieces and decorations for cakes, pa... + Read More"
"15","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2158","Baking for Special Diets","In recent years nutritional baking has seen a demand, and this course provides the additional skills and knowledge that are required for bak... + Read More"
"16","Algonquin College","Baking and Pastry Arts Management","https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/","FOD2159","Artisan Bread","The art of artisanal bread making has seen an increased popularity and is in high demand. Students learn and practice the skills in preparin... + Read More"
