"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO1300","Cellular Biology","The scientific study of life raises the obvious question: What is life? Students explore the characteristics of life and distinguish living ... + Read More"
"2","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO1301","Biology Laboratory","Students are introduced to traditional experimentation in biological science. The process of scientific inquiry that includes repeatable obs... + Read More"
"3","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC1300","Biosafety","Detailed knowledge of laboratory safety and Biosafety regulations is essential in this field. Students learn how to follow the Canadian Bios... + Read More"
"4","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC1305","Understanding Biotechnology","Students review historical developments in biotechnology, analyze current industry developments and discuss the political, social and ethica... + Read More"
"5","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CHE1302","General Chemistry","Biotechnologists require a strong background in the fundamentals of chemistry and principles of applied physics. Students gain an understand... + Read More"
"6","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CHE1303","Chemistry Laboratory","Biotechnologists must adhere to Good Laboratory Practice standards and report scientific data concisely. Students develop a skill base that ... + Read More"
"7","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","SCI1304","Essential Scientific Skills","For scientists to make good observations they must develop science process skills. Students learn science process skills through a combinati... + Read More"
"8","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO1401","Molecular Biology","Understanding biological concepts at the cellular and molecular level is critical in the field of biotechnology. Students learn the molecula... + Read More"
"9","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO1402","Molecular Biology Lab","Biotechnologists require practical laboratory experience. Students are provided with a hands-on introduction to techniques used in molecular... + Read More"
"10","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CHE1401","Organic and Applied Chemistry","Biotechnologists require a strong understanding of the chemical and physical properties of molecules. Students examine various representatio... + Read More"
"11","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CHE1402","Organic and Applied Chemistry Lab","Biotechnologists investigate the physical and chemical properties of different classes of organic compounds, as well as carry out a variety ... + Read More"
"12","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"13","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","GED2012","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"14","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","MAT1406","Statistics for Biotechnology Applications","Biotechnologists require an understanding of statistical methods in order to summarize and interpret data from experiments or studies.  Usin... + Read More"
"15","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BCH2301","Biochemistry I","Biochemistry is one of the pillars of modern biotechnology. Students explore water chemistry, followed by the classification of biomolecules... + Read More"
"16","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BCH2302","Biochemistry I Lab","With a strong focus on proteins, fundamental skills in the biochemistry laboratory are developed and refined. Laboratory topics including so... + Read More"
"17","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO2302","Microbiology I Lab","Students differentiate between microorganisms microscopically. By growing, isolating and staining microorganisms, students evaluate the pote... + Read More"
"18","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO2303","Microbiology I","The ability to identify and differentiate microorganisms is essential in the field of biotechnology. Emphasis is placed on identification an... + Read More"
"19","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CHE2403","Analytical and Physical Chemistry","Students must demonstrate a sound understanding of the principles of analytical chemistry and show how these principles are applied in chemi... + Read More"
"20","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CHE2404","Analytical and Physical Chemistry Lab","Students demonstrate the ability to prepare chemical solutions using precise volumetric tools and glassware. Students prepare analytical sta... + Read More"
"21","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","ENL2019T","Technical Communication for Engineering Technologies","The ability to communicate effectively in a technically-oriented interdisciplinary workplace is a foundational skill in an innovation-driven... + Read More"
"22","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BCH2401","Biochemistry II","Students expand upon their understanding of biochemistry. Emphasis is placed on metabolic pathways and their regulation, particularly aerobi... + Read More"
"23","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BCH2402","Biochemistry II Laboratory","Protein purification and analysis is followed from initial stages of lysis and precipitation, through column purification techniques includi... + Read More"
"24","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO2403","Microbiology II","Students explore the beneficial and practical uses of microorganisms by examining applied microbiology, as it relates to food, drugs and the... + Read More"
"25","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BIO2404","Microbiology II Laboratory","Students further expand on techniques to identify microbes commonly found in our surroundings. Independently, students identify and classify... + Read More"
"26","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC2400","Biotech Lab Management","Good management practices for laboratory technologists are essential in the biotechnology sector. Students acquire expertise in validation a... + Read More"
"27","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC2405","Analytical Instrumentation","Biotechnologists need to be familiar with figure of merits of analytical methods, and distinguish the most suited solution for an analytical... + Read More"
"28","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC2406","Analytical Instrumentation Laboratory","Biotechnologists require a solid foundation in the modern techniques of analytical chemistry and instrumentation. Students identify and carr... + Read More"
"29","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","WKT2207","Work Term 1","Students gain valuable on-the-job experience. This Cooperative education work term develops further technical expertise for students.Prerequ... + Read More"
"30","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3301","Biotechnology Theory I","Concurrent with laboratory exercises, students explore nucleic acid manipulation. Nucleic acid replication, regulation, mutation and repair ... + Read More"
"31","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3303","Biotechnology I Laboratory","Using molecular biology techniques, students are provided with practical experience in nucleic acid and protein manipulation. Experimental a... + Read More"
"32","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3304","Industrial and Bioprocessing","Students apply core biotechnology techniques in the field of large scale industrial bio-processing. Industrial processes studied include the... + Read More"
"33","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3305","Industrial and Bioprocessing Laboratory","The ability to use various organisms and cell cultures to produce high value bio-products is essential in the field of industrial biotechnol... + Read More"
"34","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","CST3301","Bioinformatics and Knowledge Management","Bioinformatics is the use of computers to manage, organize and analyze biological information. Students develop the skills to find online re... + Read More"
"35","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3500","Experimental Design for Biotechnology","Students participate in applied research activities, collaborative applied research projects generated by industry partners, or faculty/stud... + Read More"
"36","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3601","Biotechnology Field Placement I","Students participate in field placements (internship) with partners from the public or private sector. Through this experiential learning mo... + Read More"
"37","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","GED1020","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"38","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3404","Biotechnology Practicum","Essential technical skills are required in the biotechnology sector. Students demonstrate their mastery of a wide range of laboratory skills... + Read More"
"39","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3405","Biotechnology Theory II","Concurrent with laboratory exercises in BTC3406, students learn cutting edge biotechnology techniques for manipulation and characterization ... + Read More"
"40","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3406","Biotechnology II Laboratory","Students acquire practical experience in cutting edge biotechnology techniques for manipulation and characterization of macromolecules such ... + Read More"
"41","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3600","Bio-Regulations","Biotechnologists must comply with federal and provincial legislation and guidelines as they perform research, clinical trials and all work i... + Read More"
"42","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","GED8700","Environmental Science and Renewable Energy","Students explore the current and future impact of humans on the environment. They review, discuss and debate topics such as climate change, ... + Read More"
"43","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","MGT3405","Business Trends in Biotechnology","Students gain an overview of the current marketplace trends in biotechnology and the potential effects these may have on the world economy. ... + Read More"
"44","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3501","Research Methods in Biotechnology","In a continuation from BTC3500, students participate in applied research projects in small groups.  Students are encouraged to call upon pri... + Read More"
"45","Algonquin College","Biotechnology - Advanced (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/biotechnology-advanced/","BTC3602","Biotechnology Field Placement II","In a continuation from BTC3601, students participate in field placement (internship) with partners from the public or private sector.  Stude... + Read More"
