"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ACC1100","Bookkeeping","The ability to accurately record the day-to-day transactions is an essential skill for bookkeepers and office administration staff.  Student... + Read More"
"2","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ACC1104","Payroll Fundamentals","Whether the organization has 1 or 10,000 employees, accurate and timely payroll processing is paramount. Students focus on practices to ensu... + Read More"
"3","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","BUS2301","Business Computer Applications","The knowledge gained in this course provides students with a solid foundation for future learning in other studies, and in business. Student... + Read More"
"4","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ENL1962","English Fundamentals","Students develop language skills necessary to promote success in program courses and, ultimately, business careers. Students achieve correct... + Read More"
"5","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","GED2013","Interpersonal Relations","In the context of increased use of technology in today's workplace, the human touch remains a cornerstone of business interactions and the s... + Read More"
"6","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","QUA2210","Basic Business Mathematics","The essentials of arithmetic and its applications, including fractions, decimals, percentages, mathematics of buying and selling, payroll, t... + Read More"
"7","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ACC1202","Statutory Compliance","Governments and regulatory authorities require organizations to meet performance and documentation standards, and submit reports and payment... + Read More"
"8","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ACC1207","Bookkeeping II","Cash management and internal controls are fundamental functions in business. Students are introduced to cash management practices, including... + Read More"
"9","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ACC1211","Accounting","The ability to maintain accounting records and internal controls around bookkeeping processes are essential skills for bookkeepers. Students... + Read More"
"10","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","ENL1813B","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"11","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","OFF1200","Spreadsheet Applications","Accountants and bookkeepers use spreadsheets to calculate and record information and produce reports. Students create, manage, calculate, as... + Read More"
"12","Algonquin College","Bookkeeping and Accounting Practices","https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/","OFF1201","Introduction to Business Processes","Businesses are made up of many operational areas that perform distinctly different activities.  Students discuss the interrelationship betwe... + Read More"
