"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1500","Audio Production I","Audio quality is essential in radio. Students learn to operate a broadcast production studio to become proficient with the basic functions o... + Read More"
"3","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1501","Performance I","Getting behind the microphone and understanding the mechanics behind voice work is essential for working in the radio industry. Students rec... + Read More"
"4","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1502","Radio News Writing I","Entry-level radio station employees are expected to have many skills.  One of these skills is compiling and delivering newscasts.  Students ... + Read More"
"5","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1504","Radio Programming I","Understanding the operational and legal requirements of running a radio station is important for anyone attempting to enter the industry.  S... + Read More"
"6","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1506","Introduction to Broadcasting","Radio is an evolving business. To understand future possibilities, entry- level employees need to understand the history of their industry. ... + Read More"
"7","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1537","Research Methods","Junior employees need to recognize the role that research plays in sales and programming at radio stations. Canadian cohorts and their impac... + Read More"
"8","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1561","The History of Popular Music","Students examine the different genres of music and their effect on modern culture. Through audio, some video and suggested reading, students... + Read More"
"9","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","ENL1947A","Communications II: Scriptwriting for Radio","Radio professionals are required to write many different types of scripts on the job: for interviews, for news, for current affairs, for ent... + Read More"
"10","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1505","Commercial Writing","Radio stations are looking for creative staff who understands the creative process. Students learn the basic skills needed to write advertis... + Read More"
"11","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1508","Performance II","First time radio employees are expected to be able to use a microphone properly. Students therefore, need to refine their announcing skills.... + Read More"
"12","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1510","Radio Programming II","Students polish their on-air performance on the College radio stations CKDJ 107.9 and AIR AM1700. They take more responsibility in the day-t... + Read More"
"13","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1546","Audio Storytelling","Students combine their news gathering and reporting skills in a current affairs program. They research, interview and produce high quality c... + Read More"
"14","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1555","Radio News Writing II","Students are provided with more hands-on news writing and reporting experience. While delivering a weekly newscast, students develop an unde... + Read More"
"15","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1556","Marketing, Sales and Promotion","Students examine how radio stations and other businesses market, promote and develop positioning strategies. In practical settings, students... + Read More"
"16","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1566","Audio Production II","Understanding the role of quality audio is essential in the operation of a radio station. Students refine their production techniques in a d... + Read More"
"17","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1511","Radio Formats","Basic knowledge of the many ways that radio stations can be programmed is an essential skill. Students gain an appreciation of the different... + Read More"
"18","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1514","Radio Programming III","Students learn the many roles at a radio station through hands-on experience at the College radio stations, CKDJ 107.9 and AIR AM1700. Stude... + Read More"
"19","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1539","Advanced Media Sales","The business side of radio and the sales process is what drives all aspects of radio station operations. Students learn radio sales from dev... + Read More"
"20","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1554","Audio Production III","Radio is an audio medium and therefore the ability to recognize and produce audio at a high level is important. Students master digital edit... + Read More"
"21","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1565","Radio Promotions","Promotions are helpful in extending the radio station's brand experience with its two core customers: the listener and the client. Students ... + Read More"
"22","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1567","Digital Communications","In the digital age, broadcasters find themselves both competing with new media, as well as using that media to augment their over-the-air pr... + Read More"
"23","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1569","Podcasting","In the digital on-demand age, audio content is being delivered to consumers in a package that they can consume when and where they want it. ... + Read More"
"24","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","GED0380","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"25","Algonquin College","Broadcasting - Radio","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/","RAD1560","Field Work/Station Operation","Field work helps students get experience in the industry while honing their skills. Students train on-the-job with an outside placement or w... + Read More"
