"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1500","Television Operations I","As students begin to examine production skills required to produce television, they must be able to maximize the industry standard productio... + Read More"
"3","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1501","Studio Production I","Students are introduced to the working fundamentals of a television production studio. Both production and operation skills/competencies wit... + Read More"
"4","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1530","Introduction to Post-Production","Students are introduced to the digital tools required to edit and finish short video and audio productions in both standard definition and H... + Read More"
"5","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1543","News Writing I","Students gain skills to research and write TV news scripts. Emphasis is on developing the skills needed to enter the field of television new... + Read More"
"6","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1546","The Art of Photography","Students explore the impact great photographers have had on modern society. To fully appreciate photography as an art form, the technical as... + Read More"
"7","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1565","Electronic Field Production I","Students are introduced to single camera video production. Using one camera to visually tell stories is the norm in television news and docu... + Read More"
"8","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"9","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","ENL2018","Communications II: Screen-Based Storytelling","Students learn the art of storytelling for a variety of screen-based showcases. Scripts for TV dramas, sitcoms, animation, advertising, and ... + Read More"
"10","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1502","News Writing II","Students improve their ability to find and write news stories for broadcast and social media. Students develop skills in researching, writin... + Read More"
"11","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1507","Studio Production II","Students enhance their knowledge of the working fundamentals of a television production studio.  Learning both production and operation skil... + Read More"
"12","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1536","Television Operations II","As students strive to achieve a higher level of production skills, they must be able to maximize the industry standard production resources ... + Read More"
"13","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1547","Digital Post-Production and Motion Graphics I","Students are introduced to digital video and audio editing, as well as the implementation and workflow of static and motion graphics into pr... + Read More"
"14","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1566","Electronic Field Production II","The focus is on Electronic News Gathering (ENG), with exercises mirroring industry time constraints, precision and onsite creativity when sh... + Read More"
"15","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1515","Electronic Field Production III","Students are introduced to equipment and techniques that help produce a more accomplished image. Students gain experience using focal length... + Read More"
"16","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1548","Studio, Life Style and News Production I","To produce quality content, students need to have an understanding of the processes involved in producing television, from conceptualization... + Read More"
"17","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1560","Production and Business Management I","Through a series of lectures and guest speakers, students gain an excellent appreciation of what is involved in the development, management,... + Read More"
"18","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1567","Remote Broadcast I","Multi-camera coverage of community or sports events is a significant part of many broadcast schedules. Students are introduced to the prepar... + Read More"
"19","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1569","Digital Post-Production Motion Graphics II","Hands-on training in the world of visual blending, motion graphics and compositing is provided. Students advance one step further in post-pr... + Read More"
"20","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1559","Writing for Film and Television I","Students learn elements of writing for film by writing a pitch, short treatment and two drafts of a short drama or comedy script suitable fo... + Read More"
"21","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1562","Advanced Technologies I","Students explore finishing, refining, archiving, and delivery of sound and motion video/graphics. They also study fundamental theories that ... + Read More"
"22","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","GED0381","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"23","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1518","Remote Broadcast II","Working in teams, students plan, shoot and promote on social media, a minimum of four multi-camera events outside the studio. Students also ... + Read More"
"24","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1519","Electronic Field Production IV","Students create significant content to the highest standards. Projects may include documentaries, dramas, series pilots, music videos, comme... + Read More"
"25","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1544","Production and Business Management II","From cost reports to negotiating crew and talent, advanced training for emerging producers and production managers is provided. Students acq... + Read More"
"26","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1564","Digital Post-Production and Motion Graphics III","Students combine digital audio/video post-production techniques, 2D and 3D motion graphics/compositing using myriad of up-to-date  media sof... + Read More"
"27","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1570","Industry Familiarization","Students are introduced to the broadcast and production environments in which they work after graduation. Through onsite visits and interact... + Read More"
"28","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1571","Studio, Life Style and News Production II","To produce quality content, students need to have an understanding of the processes involved in producing television, from conceptualization... + Read More"
"29","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1535","Writing for Film and Television II","Students learn to write for a variety of television genres by creating an original web series. Students generate pitch bibles and sample scr... + Read More"
"30","Algonquin College","Broadcasting - Television","https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/","TVA1563","Advanced Technologies II","Students create motion graphic elements for all types of productions using industry software and techniques. Emphasis is given to delivering... + Read More"
