"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","BSC1204","Automated Building Systems","Electrical-Mechanical systems account for almost two-thirds of the electricity consumed in typical industrial and commercial sectors. Studen... + Read More"
"2","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","CST1206","Systems Programming","Building integration relies on the ability to control mechanical and electrical systems through system programming. Automation software is u... + Read More"
"3","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","ELE1201","Building Automation Systems","The ability to automatically control systems within buildings is the cornerstone of building automation. Students examine the principles and... + Read More"
"4","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","ELE1202","Power Distribution","Building automation integrates electrical theories and principles throughout the interconnected systems. Students investigate power systems,... + Read More"
"5","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","ELE1203","Mechanical Controls","The interconnected relationship between controls and the controlled environments have a significant impact on the physical state of a buildi... + Read More"
"6","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","NET1205","Building Controls Networking","A network provides the ability for connected devices and controllers to communicate efficiently. Students examine network terminology and pr... + Read More"
"7","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","BSC2201","Building Automation Control Systems","Building automation attempts to achieve occupant comfort, efficient operation of building systems and reduction in energy consumption and op... + Read More"
"8","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","BSC2203","Sustainable Facilities Operations","Sustainability, as it relates to social, economic and environmental responsibility, is a central concern in operations of facilities. Focus ... + Read More"
"9","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","BSC2204","Applied Building Automation","Having the opportunity to practise the theories and skills related to building automation is a vital component of the learning experience.  ... + Read More"
"10","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","BSC2205","BAS Applied Project","Employers recognize the benefits of industry experience in the field. Students work in teams to seek an appropriate and approved industry pa... + Read More"
"11","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","ENG2202","Instrumentation and Measurement","Operating and monitoring conditions and energy in building performance is an integrated component requiring consistent measuring and verifyi... + Read More"
"12","Algonquin College","Building Automation System Operations","https://www.algonquincollege.com/acce/program/building-automation-system-operations/","MGT2206","Project and Information Administration","Possessing the ability to understand and communicate with other professionals about the execution and management of projects is a requiremen... + Read More"
