"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8114","Building Structures I","Students gain the skills and basic theoretical and practical knowledge for the safe use of hand tools and portable power tools. Through theo... + Read More"
"2","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8115","Construction Safety","Students gain the knowledge required for the safe use of ladders, scaffold and rigging equipment as practised on construction sites. Student... + Read More"
"3","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8125","Applied Construction Geometry","Students examine and utilize basic geometric principles through practical application to determine angles, compound angles and sloped surfac... + Read More"
"4","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","DAT2004","Computer Applications","Knowledge of common computer applications is crucial in any modern workplace. Students examine the essentials of the computer operating syst... + Read More"
"5","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","DRA8110","Drafting","Manual drawing skills are used to develop a set of basic working drawings including plans, elevations, sections and details for a wood-frame... + Read More"
"6","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","GED2012","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"7","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","MAT8110","Technician Mathematics I","Carpenters regularly measure, cut and calculate distances, areas, volumes and angles. Students first develop the skills to efficiently add, ... + Read More"
"8","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CAD8010","AutoCAD I","Students are introduced to computer-aided drafting using AutoCAD. Focus is placed on the drawing and editing commands required to produce tw... + Read More"
"9","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8120","Building Structures II","Class discussion and hands-on learning provide students with the knowledge and skills to safely operate and maintain stationary power tools.... + Read More"
"10","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8126","Residential Building/Estimating","The principles of residential building and estimating are essential tools for the modern workplace. Plan reading and construction methods fo... + Read More"
"11","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8134","Building Science","Professionals in the construction industry must possess an awareness of both the environmental and green energy effects on buildings and mat... + Read More"
"12","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"13","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","MAT8120","Technician Mathematics II","Carpenters often need to determine angles, lengths, or resultant forces on a building. Students first develop the skills to appropriately us... + Read More"
"14","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","GED6442","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"15","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CAD8020","AutoCAD II","Students enhance acquired skills and learn how to produce professional two-dimensional architectural drawings.Prerequisites: CAD8010 ... + Read More"
"16","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8111","Construction Layout","Students gain the skills and knowledge needed to use tapes, levels and transits/theodolites to determine distances, angles, and elevations f... + Read More"
"17","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","CON8131","Building Structures III","Building upon acquired skills, students gain knowledge and experience in the installation of stair layout and construction, insulated concre... + Read More"
"18","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","ENG8130","Applied Mechanics","It is important that any building remain safely and securely standing for years after it is built. Students learn to use Newton's laws to de... + Read More"
"19","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","ENL2003","Communications II for Technicians","Communicating effectively in the workplace is a key component of career advancement and essential skills development. The ability to read, u... + Read More"
"20","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","HIS8482","History of Architecture","Students explore the major cultural trends and technological events which have influenced the development of western architecture, from pre-... + Read More"
"21","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","WOO8805","Interior Systems","Students gain the knowledge and skills to design and build residential interior systems. Structure and aesthetics are considered in the guid... + Read More"
"22","Algonquin College","Building Construction Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/building-construction-technician/","WKT2011","Co-op Work-term Building Trades Programs","Students complete a cooperative education work-term and submit a written report documenting the location of employment and the duties perfor... + Read More"
