"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","ACC7301","Accounting I","An introduction to financial accounting is provided. Students study accounting information, understanding the accounting cycle, recording tr... + Read More"
"2","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","BAI7300","Global Business Environment","As the global economy continues to change rapidly, and as the number of international trade agreements grows, trade barriers come down and C... + Read More"
"3","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","DAT7321","Computer Applications","Students perform simple operating system commands and produce a variety of business documents using operating systems, word processing, spre... + Read More"
"4","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"5","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MKT0012","Brand Creation for a Digital World","Creating an online presence for your business is much more than setting up a social media account or having a website. Students develop skil... + Read More"
"6","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","PSY7603","Introduction to Psychology","Students examine the biological basis of behaviour, sensation and perception, consciousness, learning, memory, thought and language, develop... + Read More"
"7","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","QUA7210","Basic Business Mathematics","The essentials of arithmetic and its applications, including fractions, decimals, percentages, mathematics of buying and selling, payroll, t... + Read More"
"8","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","ACC7310","Computer Applications in Accounting","Students obtain practical experience in using Sage Accounting software to record transactions and prepare financial statements.... + Read More"
"9","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","DAT7325","Computer Applications II","Students acquire the knowledge and practical experience necessary to manage data using a relational database management system, as well as a... + Read More"
"10","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","ECO7200","Economics","Students are introduced to the principles that are essential to an understanding of contemporary economic issues. Emphasis is placed on the ... + Read More"
"11","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","ENL7693","Communication Skills for Business","Students develop business communication skills. Topics include business writing style, workplace and employment correspondence, reports, pre... + Read More"
"12","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MGT7231","Introduction to Project Management","Managers must know how to successfully plan and execute projects on time and within budget. Students learn the basic concepts of project man... + Read More"
"13","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MGT7326","Introduction to Management Fundamentals","Management principles, including planning, leading, organizing, and controlling in today's organization within the context of ethics, corpor... + Read More"
"14","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MKT7311","Marketing","Students acquire an understanding of what marketing is, what marketing professionals do, the four ""Ps"" of marketing (product, price, place, ... + Read More"
"15","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","GED1306","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"16","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","WKT7102","Cooperative Education Work Term","For students who qualify academically and who choose to participate, there is the opportunity to enhance their diploma with an officially re... + Read More"
"17","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","FIN7303","Introduction to Finance","Building a solid understanding of personal finance is crucial for students who intend to choose the Finance major in the Business Administra... + Read More"
"18","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","LAW7703","Business Law","Students are prepared for a business environment increasingly affected by laws. They learn how laws must be understood and applied by manage... + Read More"
"19","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MGT7321","Materials and Operations Management","Topics in operations management are examined. Students gain an in-depth knowledge of the responsibilities and current tools of operations an... + Read More"
"20","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MGT7332","Business Planning","Learning is culminated through the development of a comprehensive business plan. In preparing a business plan, students apply business conce... + Read More"
"21","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MGT7335","Professional Sales","Students learn the skills required to be successful in today's highly competitive business sales and commerce environment. They acquire exce... + Read More"
"22","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","MGT7380","Human Resources Management","Human capital is a critical organizational resource contributing to organizational agility, goal attainment and ultimate viability through p... + Read More"
"23","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","SSC7636","Professionalism, Leadership and Community","Professionalism is the foundation for those preparing for leadership roles in the workplace, community and educational settings. By explorin... + Read More"
"24","Algonquin College","Business (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/business/","GED1306","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
