"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","BUS2301","Business Computer Applications","The knowledge gained in this course provides students with a solid foundation for future learning in other studies, and in business. Student... + Read More"
"2","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","ECO2200","Economic Issues","Knowledge of contemporary economic issues is essential to understanding the world in which we live. Students examine the fundamental economi... + Read More"
"3","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","ENL1813E","Communications I - Entrepreneurial Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"4","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","MGT2328","Introduction to Management Fundamentals","Management principles, including planning, leading, organizing, and controlling in today's organization within the context of ethics, corpor... + Read More"
"5","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","MKT2317","Marketing","Students are provided an overview of the marketing functions used in an organization, which serves to support them in their chosen business ... + Read More"
"6","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","QUA2210","Basic Business Mathematics","The essentials of arithmetic and its applications, including fractions, decimals, percentages, mathematics of buying and selling, payroll, t... + Read More"
"7","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","ACC1211","Accounting","The ability to maintain accounting records and internal controls around bookkeeping processes are essential skills for bookkeepers. Students... + Read More"
"8","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","BUS0011","Project","Successful businesses and organizations depend on those who are able to identify the key operational factors that contribute to their busine... + Read More"
"9","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","MGT2381","Human Resources Management","Human capital is a critical organizational resource contributing to organizational agility, goal attainment and ultimate viability through p... + Read More"
"10","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","MKT0013","Social Media for the Entrepreneur","Increasingly, Canadians are choosing entrepreneurship over more traditional business employment. Critical to any start-up or entrepreneurial... + Read More"
"11","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","OFF2395","Spreadsheet Applications (OA)","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"12","Algonquin College","Business Fundamentals","https://www.algonquincollege.com/generalarts/program/business-fundamentals/","GED1457","General Education Elective","For this course, you will have the opportunity to choose one from a group of general education electives.  Your options will include courses... + Read More"
