"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2100","Strategic Use of Business Intelligence","In order to get the most out of business data, it is important to ask the right questions. Business principles and practices need to be plac... + Read More"
"2","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2101","Business Intelligence Programming","Students learn to use problem-solving methodologies, critical thinking and hands-on practice to support the design and development of correc... + Read More"
"3","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2102","Database Analytics","Students develop knowledge of object-relational database management system software, relational database design including normalization, des... + Read More"
"4","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2103","Networking Strategies for Business Intelligence Platforms","Students learn the important concepts necessary to understand modern LAN and Internet networking with a particular focus on understanding th... + Read More"
"5","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2105","Data Science Foundations for BISI Students","A focused examination of major data science techniques (regression, clustering, classification, and association)is provided. Analysis framew... + Read More"
"6","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2106","Data VIsualization Topics","Students are provided with an introduction to core and key evolving visualization considerations and techniques applied to multi-dimensional... + Read More"
"7","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2107","Operating System Component of BI Platforms","Students explore the concepts and core functions of the Windows operating system as they relate to BISI program requirements.  A BISI-focuse... + Read More"
"8","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2200","Database Systems Administration and Management","Students continue their exploration of an enterprise class dbms, with an emphasis on administration, security and performance. A database is... + Read More"
"9","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2203","Security and Administration of Business Intelligence Platforms","Students gain valuable experience with the tools needed to responsibly install, configure, administer and secure servers and content in Cogn... + Read More"
"10","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2204","Report Authoring","Students use report building techniques based on relational data models to enhance, customize, manage and distribute professional reports. U... + Read More"
"11","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2205","Data Modeling","Students model various operational and dimensional representations of data appropriate for addressing business requirements. They design, im... + Read More"
"12","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2206","Troubleshooting Business Intelligence Platforms","Ongoing relationships with customers are a crucial component of successful BI platforms, through effective technical support either onsite o... + Read More"
"13","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2208","Data Science Topics for BISI Students","This course extends the knowledge gained in CST2105 by considering methods appropriate for more complex requirements (e.g. Neural Networks, ... + Read More"
"14","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2210","Introduction to Business Intelligence Architecture","Students are provided with a conceptual framework for studying BI systems. This course assists students in understanding the subsystems and ... + Read More"
"15","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","CST2212","Business Intelligence Project","Students are provided with the tools and strategies for managing technical projects. Students use strategies relating to team building, requ... + Read More"
"16","Algonquin College","Business Intelligence System Infrastructure (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/","WKT8001","Work Term I","Students complete a cooperative work term, and submit a written report which documents the location of employment and the duties performed.... + Read More"
