"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","ACC2214","Financial Information for Marketing","Students are introduced to management accounting information used by the marketing manager to make financial decisions. Computer application... + Read More"
"2","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","BUS2301","Business Computer Applications","The knowledge gained in this course provides students with a solid foundation for future learning in other studies, and in business. Student... + Read More"
"3","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","ENL1813B","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"4","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2205","Marketing Foundations","Students are introduced to the fundamentals of marketing, including the assessment of business environments to determine market potential. S... + Read More"
"5","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2216","Skills Transferable to Business","Learners develop foundational business skills to help them successfully graduate and prepare for the workforce. The focus is on preparing le... + Read More"
"6","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","QUA0002","Business Mathematics","Students review basic arithmetic and algebra, as well as mathematic tools and concepts required for solving problems found in a business env... + Read More"
"7","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","ENL1823B","Communications II","Students continue to expand their practical writing and speaking skills for successful communication in business. Using real-life scenarios ... + Read More"
"8","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","LAW2205","Contemporary Political and Legal Issues in Canadian Society","Students learn how and why the country of Canada was created and organized as a federal system. The course begins to explore the effects of ... + Read More"
"9","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2206","Product and Pricing Strategies","Students acquire an in-depth appreciation for product and pricing strategies and tactics. Students gain a thorough appreciation for the new ... + Read More"
"10","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2217","Global Marketing","Students learn about the issues and the decisions required for businesses to succeed in the global marketplace. The course makes extensive u... + Read More"
"11","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2282","Professional Selling","Students develop the selling skills they require during a business career. Major topics studied include the importance of the selling functi... + Read More"
"12","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","QUA0008","Statistics","Descriptive methods of data classification, sampling, collecting, organizing, and presentation of data in order to evaluate various business... + Read More"
"13","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2207","Marketing Channels","Students gain an understanding of how businesses leverage distribution channels within their marketing mix, both strategically and tacticall... + Read More"
"14","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2283","Sales Management","Students are provided with insight and knowledge pertaining to the key issues involved in the field of sales management. Emphasis is placed ... + Read More"
"15","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2284","Marketing Research","Students apply the theory of sound marketing research to understand its importance in the managerial decision-making process in today's comp... + Read More"
"16","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2291","Integrated Marketing Communications I","Students are provided with an in-depth look at the marketing communications mix elements. The role of advertising and promotion, and how the... + Read More"
"17","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","GED0214E","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"18","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","WKT0019","Work Term I","Students gain valuable on-the-job experience. This Cooperative education work term develops further technical expertise for students.... + Read More"
"19","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","GED2234","Contemporary Ethical Issues","The purpose of this course is to demonstrate to students that important ethical issues arise in all areas of our society and how they respon... + Read More"
"20","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2208","Digital Marketing","Students focus on digital marketing strategies using a broad range of online marketing tools. Establishing key messages, building engagement... + Read More"
"21","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2213","Skills for the Workplace","Students focus on planning and enhancing the skills required to pursue the next phase of their career preparation. The course contains two s... + Read More"
"22","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2260","Industry Marketing Plan","Students apply concepts to an industry client. Working in teams, students create a marketing plan for a local business. The course works in ... + Read More"
"23","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2261","Marketing Plan Project Field Work","Student teams are assigned to work with an industry client to research all aspects of the client's business including all pertinent internal... + Read More"
"24","Algonquin College","Business - Marketing (Co-op and Non Co-op Version)","https://www.algonquincollege.com/business/program/business-marketing/","MKT2292","Integrated Marketing Communications II New Media","Further insight into current trends and developments in interactive and Internet communications, media relations, event marketing and sponso... + Read More"
