"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0311","Introduction to Research Methods","Generating accurate and meaningful conclusions from quantitative and qualitative research requires knowledge of research principles and meth... + Read More"
"3","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0312","Anatomy and Physiology","An understanding of human biology is essential to cardiovascular technologists. Learners are introduced to the human body and its functions.... + Read More"
"4","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0313","Cardiovascular Anatomy and Physiology","The human heart is a complex organ that functions as a pump for the movement of blood throughout the human body. Providing foundational know... + Read More"
"5","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0314","Introduction to Cardiovascular Technology and Equipment Maintenance","Students are exposed to the field of Cardiovascular Technology and the role of a cardiology technologist. Learners practice with various car... + Read More"
"6","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0315","Electrocardiography","Electrocardiography (ECG) is a fundamental diagnostic tool routinely used to assess the heart's electrical activity. Students integrate know... + Read More"
"7","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0320","Cardiovascular Pathophysiology","Each cardiovascular disease or condition is unique requiring different diagnostic tests and treatment. Therefore, it is important for studen... + Read More"
"8","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0321","12-Lead ECG Interpretation","A 12-lead electrocardiogram (ECG) is a fundamental diagnostic tool used to analyze the heart's electrical activity. Students systematically ... + Read More"
"9","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0322","Ambulatory Monitoring 1","Ambulatory monitoring allows for patients to wear devices that monitor either their blood pressure or their electrocardiogram for a specific... + Read More"
"10","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0323","Cardiovascular Pharmacology","Different classes of cardiovascular drugs are used to treat conditions of the cardiac, circulatory or vascular system. Students learn about ... + Read More"
"11","Algonquin College","Cardiovascular Technology","https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/","HLT0324","Stress Testing","Stress testing is a non-invasive cardiac diagnostic test that aids in the detection of coronary artery disease (CAD), as well as various arr... + Read More"
