"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","CON7014","Building Tools and Materials","It is essential for professionals in the construction industry to possess the skills and knowledge for proper selection of materials and saf... + Read More"
"2","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","CON7206","Construction Safety","A safe work environment is paramount in today's construction industry. Students gain the knowledge required for the safe use of ladders, sca... + Read More"
"3","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","DAT7323","Computer Applications for the Trades","Today's trades are relying ever-increasingly on the use of technology on and off the worksite. Students develop basic computer skills necess... + Read More"
"4","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","DRA7334","Plans, Specifications and Code I","Successful construction projects and renovations begin with and depend on an understanding of accurate project plans. Students use drafting ... + Read More"
"5","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"6","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","MAT7013","Applied Construction Geometry","Knowledge of basic geometry is frequently used in the construction industry. Students examine and utilize basic geometric principles through... + Read More"
"7","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","MAT7014","Applied Mathematics for the Trades I","Mastery of mathematical theories is essential for success in the construction industry. Students practise performing technical calculations ... + Read More"
"8","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","CON7015","Residential Framing and Exterior Finish","Students develop skills to frame houses and small buildings. Students examine the Ontario Building Code and the structural requirements pert... + Read More"
"9","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","CON7016","Fundamentals of Building Science","Professionals in the construction industry must possess an awareness of both the environmental and green energy effects on buildings and mat... + Read More"
"10","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","CON7017","Collaborating with Supporting Trades","To complete a successful building project, effective interaction of supporting trades is essential. Communication with and perspective of ot... + Read More"
"11","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","DRA7335","Plans, Specifications and Codes II","The construction industry depends heavily on comprehension of blueprint interpretation and creation. Students examine residential building b... + Read More"
"12","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","MAT7015","Applied Mathematics for the Trades II","Accurate and efficient use and estimation of time and materials is essential within the construction industry. Students utilize applied math... + Read More"
"13","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","PLU7011","Introduction to Plumbing","Students examine the basic theory and practice of terminology, tools, equipment and safe work practices used in residential applications of ... + Read More"
"14","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","WEL7311","Metal Cutting and Welding","Students examine the basics of welding procedures as practised in building construction. Students examine safety precautions, types and uses... + Read More"
"15","Algonquin College","Carpentry and Renovation Techniques","https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/","GED1519","General Education Elective","Students choose one course, from a group of general education electives,  which meets one of the following five theme requirements: Arts in ... + Read More"
