"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM0001","Principles of Psychology","Understanding self and others is essential in promoting healthy interactions, and success in personal and professional relationships. Studen... + Read More"
"3","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1054","Introduction to Child and Youth Care","Children, youth, families and communities may require support from child and youth care practitioners in order to lead healthy lives. Studen... + Read More"
"4","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1066","Child Development","Child development refers to the physical, cognitive, and social and emotional changes that occur in human beings between conception and 12 y... + Read More"
"5","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1255","Field Preparation Seminar 1:Community Service Learning","Students acquire an awareness of the role of the child and youth care practitioner within a wide variety of settings. Students develop neces... + Read More"
"6","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1258","Technology Tools for Child and Youth Care Practitioners","With the increasing application of technology in our day-to-day lives, child and youth care practitioners are required to utilize and be awa... + Read More"
"7","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","ENL1902F","Professional Communication for Child and Youth Care Practitioners","Writing legally appropriate documents, advocating for clients and communicating professionally are critical aspects of the role of the child... + Read More"
"8","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM0013","Adolescent Development","Adolescence is a distinct phase of development and one in which young people experience rapid growth. Physical, cognitive, social, and moral... + Read More"
"9","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1058","Field Preparation Seminar II","Students explore the professional role of the child and youth care practitioner within the community. Students develop basic skills in obser... + Read More"
"10","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1259","Diversity in Canadian Society","In a rapidly shrinking world, understanding diversity is becoming increasingly important. Students explore concepts of diversity and inclusi... + Read More"
"11","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1271","Sexual Health and Development","Sexuality is an integral part of the lives of child and youth care practitioners and the clients and families they serve. Students review in... + Read More"
"12","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1273","Mental Health 1","Mental health challenges touch the lives of many. Students are introduced to mental health literacy for child and youth care practitioners. ... + Read More"
"13","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM0063","Field Integration Seminar I","The integration of theory, field-related issues and personal development is essential for students to formalize a basic understanding of how... + Read More"
"14","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1050","Therapeutic Activities","Therapeutic programming is one of the core elements in child and youth care practice. Students practise developing and facilitating therapeu... + Read More"
"15","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1052","Youth in Conflict with the Law","Vulnerable and at-risk youth are often involved in the justice system and child and youth care practitioners come into contact with these yo... + Read More"
"16","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1064","Child and Youth Care Interventions","Children and youth in crisis require professionals to intervene in a safe, proactive and effective manner. Students identify the stages in t... + Read More"
"17","Algonquin College","Child and Youth Care","https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/","FAM1070","Outdoor Activities I","With the focus of promoting optimal social, emotional and physical development, child and youth care practitioners plan and implement outdoo... + Read More"
