"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1756","Introduction to Psychology","Psychology is the study of the mind and behaviour. Students critically examine the fundamental principles of psychology and provide an overv... + Read More"
"2","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1910","Social Issues Seminar","When working in the community and justice field, it is essential to understand and have empathy for the justice issues that the people we wo... + Read More"
"3","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1914","Community and Justice Resources","Those working in the community and justice field must have a strong awareness of the resources and services available to assist their client... + Read More"
"4","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1919","Intervention Skills I","Community and justice workers require a toolkit of intervention approaches to support the people they work with. Students develop basic indi... + Read More"
"5","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1928","Introduction to Sociology","Sociology is the study of society and culture which aims to explore our interdependencies and differences. By providing a critical lens to t... + Read More"
"6","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1950","Canadian Justice System and Legislation","In order to support clients, it is necessary to understand the systems and institutions which have significant impact on their lives. Studen... + Read More"
"7","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","ENL1813A","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"8","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1740","Mental Health","The ways in which various systems (e.g. criminal justice, income assistance, health, education, child welfare, etc.) have been established m... + Read More"
"9","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1835","Correctional Practices","In the Community Justice Services field, many clients have experience with the correctional system. Students develop an understanding of the... + Read More"
"10","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1916","Fundamentals of Group Facilitation","Community and justice workers are often expected to facilitate groups in both community and institutional settings. Students examine the bas... + Read More"
"11","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1917","Indigenous Studies","It is essential that workers in the community and justice field have knowledge and understanding of colonization and its impacts on the peop... + Read More"
"12","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1921","Youth Justice","To better serve the young people we work with and understand how the youth justice system affects them, we must understand how the system wa... + Read More"
"13","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1922","Intervention Skills II","Trauma-informed practice is a strengths-based approach that focuses on safety, relationship, choice, collaboration and empowerment as well a... + Read More"
"14","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1923","Introduction to Criminology","Criminology is the study of the concepts of ""crime"" and ""deviance"" that employs a multi-disciplinary lens of psychology, biology, and sociol... + Read More"
"15","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","ENL1823A","Communications II","Students continue to develop their workplace writing and speaking skills. Students learn the protocols to write request letters, daily logs,... + Read More"
"16","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1800","Sexuality and Gender Studies","Within the community justice field, workers support people with a range of lived experiences. Students examine sexuality and gender topics a... + Read More"
"17","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1801","Ethics and Professional Practice","Ethical guidelines inform the day to day decisions made by people working in the community and justice field. Focus is on supporting student... + Read More"
"18","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1802","Working with Children, Youth and Families","The skills required to work with children, youth and families are essential for many employment opportunities in the community and justice f... + Read More"
"19","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1929","Fitness, Leadership and Self-Care","Community and justice services is a demanding field that requires workers to practice work-life balance. Focus is on self-care practices suc... + Read More"
"20","Algonquin College","Community and Justice Services","https://www.algonquincollege.com/ppsi/program/community-and-justice-services/","COR1949","Addictions and Harm Reduction","Substance use should be viewed as occurring on a continuum. As a result, the addiction and recovery supports that an individual can seek wil... + Read More"
