"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8101","Computer Essentials","The essentials of computer software, hardware, and laptop management form the foundation for building further technical programming skills. ... + Read More"
"2","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8110","Introduction to Computer Programming","Introduction to algorithms and Object-Oriented software development.  Use the Java programming language to develop programs which contain in... + Read More"
"3","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8215","Database","Students learn the fundamentals of Relational Databases design using Entity Relation diagrams, and use SQL to create, modify and query a dat... + Read More"
"4","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8300","Achieving Success in Changing Environments","Rapid changes in technology have created personal and employment choices that challenge each of us to find our place as contributing citizen... + Read More"
"5","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","MAT8001C","Technical Mathematics for Computer Science","The study of algebraic and transcendental functions is an essential prerequisite to Calculus. Students manipulate algebraic expressions, sol... + Read More"
"6","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8102","Operating System Fundamentals (GNU/Linux)","Learn the basic concepts and components of Operating Systems (OS), and how they function and interact with hardware and software components.... + Read More"
"7","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8108","Network Programming Basics","Software programming in today's environment requires detailed knowledge of the underlying network topology and its implementation. Gaining a... + Read More"
"8","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8132","Object-Oriented Programming","Learn extended Object-Oriented Programming concepts and develop the solid programming skills that are prerequisites for higher-level courses... + Read More"
"9","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"10","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","MAT8201","Calculus 1","Calculus is used to determine many important physical quantities.  Students differentiate algebraic and transcendental functions and sketch ... + Read More"
"11","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8130","Data Structures","Learn to use a variety of data structures and associated processing algorithms to manage massive amounts of data. Explore concepts using Obj... + Read More"
"12","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8216","Processor Architecture","Students learn how logic circuits are used in typical microprocessors. Elementary electronic components, basic numerical systems and operati... + Read More"
"13","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8234","C Language","Students learn the basics of the C Programming language. Building upon the foundation laid in prerequisite courses, application design, deve... + Read More"
"14","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8238","Web Programming","Students learn website design and implementation. HTML5, JavaScript, PHP and XML are used to explore web-based solutions to problems of incr... + Read More"
"15","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","ENL2019T","Technical Communication for Engineering Technologies","The ability to communicate effectively in a technically-oriented interdisciplinary workplace is a foundational skill in an innovation-driven... + Read More"
"16","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","WKT8001","Work Term I","Students complete a cooperative work term, and submit a written report which documents the location of employment and the duties performed.... + Read More"
"17","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8152","Compilers","Introduction to the basic principles, techniques, and tools used to translate text expressed in one language to equivalent text expressed in... + Read More"
"18","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8219","C++ Programming","Learn C++, building on the concepts of memory management and object-oriented programming studied in other languages in previous courses. Use... + Read More"
"19","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8221","Java Application Programming","Students learn advanced Java technology by developing multi-tiered applications featuring a rich graphical user interface (GUI). Students al... + Read More"
"20","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8233","Numerical Computing","Learn the usefulness and power of numerical computing methods to perform a wide range of engineering and scientific tasks processing real-wo... + Read More"
"21","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","GED0006X","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"22","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","WKT8002","Work Term II","Students complete a cooperative work term, and submit a written report which documents the location of employment and the duties performed.P... + Read More"
"23","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","WKT8003","Work Term III","Students complete a cooperative work term, and submit a written report which documents the location of employment and the duties performed.P... + Read More"
"24","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8218","Web Enterprise Applications","Expand on HTML, Java, and database knowledge to develop skills in building scalable applications built using the Java Enterprise Edition fra... + Read More"
"25","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8227","Interfacing","Specific constraints, challenges, and attributes that are unique to embedded systems are explored. The role and capabilities of such compact... + Read More"
"26","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8353","Software Design and Testing","Learn the basics of Agile software development including the Scum, Kanban and Lean methodologies. Real-world software development projects a... + Read More"
"27","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8359",".NET Enterprise Application Development","Students use C#/ASP.NET/WebServices/MS SQL to produce applications for a wide range of different environments. Students set up and deploy AS... + Read More"
"28","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8244","Real-Time Programming","Building on the student's prior knowledge of Linux/Unix, learn the difference between Real-Time/Embedded system programming and batch proces... + Read More"
"29","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8354","Industrial Application Development and Quality Assurance","Project teams are introduced to the practical aspects of design, testing and quality assurance of the software engineering process. Under th... + Read More"
"30","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST2335","Mobile Graphical Interface Programming","Students explore graphical user interface programming in a mobile Android environment. Students learn how to program applications using the ... + Read More"
"31","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST2355","Database Systems","Students acquire practical experience using market-leading object-relational database management systems like Oracle and MySQL. Students obt... + Read More"
"32","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8236","Graphics","Study the techniques and methods used to develop graphics applications running on modern computers. Some topics remain constant in time and ... + Read More"
"33","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8237","Game Programming","Combine skills learned in previous courses to develop advanced multimedia and game applications that run on a PC. Using the power of the Gra... + Read More"
"34","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8283","Business Programming","Create COBOL programs in a business environment using structured methodology in the latest visual programming environment. Topics include: o... + Read More"
"35","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8333","Programming Language Research Project","Learning a new programming language or framework on your own is a challenge faced by programmers on the job as part of their career. Student... + Read More"
"36","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","CST8390","Business Intelligence and Data Analytics","Business Intelligence (BI) can be broadly defined as a set of applications, infrastructure, and best practices that integrate and transform ... + Read More"
"37","Algonquin College","Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/","GED0006X","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
