"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8101","Computer Essentials","The essentials of computer software, hardware, and laptop management form the foundation for building further technical programming skills. ... + Read More"
"2","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8110","Introduction to Computer Programming","Introduction to algorithms and Object-Oriented software development.  Use the Java programming language to develop programs which contain in... + Read More"
"3","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8215","Database","Students learn the fundamentals of Relational Databases design using Entity Relation diagrams, and use SQL to create, modify and query a dat... + Read More"
"4","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8300","Achieving Success in Changing Environments","Rapid changes in technology have created personal and employment choices that challenge each of us to find our place as contributing citizen... + Read More"
"5","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"6","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","MAT8001C","Technical Mathematics for Computer Science","The study of algebraic and transcendental functions is an essential prerequisite to Calculus. Students manipulate algebraic expressions, sol... + Read More"
"7","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST2355","Database Systems","Students acquire practical experience using market-leading object-relational database management systems like Oracle and MySQL. Students obt... + Read More"
"8","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8102","Operating System Fundamentals (GNU/Linux)","Learn the basic concepts and components of Operating Systems (OS), and how they function and interact with hardware and software components.... + Read More"
"9","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8284","Object Oriented Programming (Java)","Learn object oriented programming methodology using the Java programming language. Object oriented concepts, such as encapsulation, inherita... + Read More"
"10","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST8285","Web Programming","Learn the basics of web programming, website design and implementation. JavaScript, HTML5, and PHP are used to explore web-based solutions t... + Read More"
"11","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","ENL2019T","Technical Communication for Engineering Technologies","The ability to communicate effectively in a technically-oriented interdisciplinary workplace is a foundational skill in an innovation-driven... + Read More"
"12","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","GED0336","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four requirements: Arts in Society... + Read More"
"13","Algonquin College","Computer Programming (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/computer-programming/","CST2234","Systems Analysis and Design","Guided by industry standard software engineering methodologies, students gain hands-on experience with case studies used to develop systems ... + Read More"
