"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7202","PC Systems Technology","Computer Systems Technicians are often called upon to upgrade, repair and perform routine maintenance of a personal computer (PC)and periphe... + Read More"
"2","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7203","Networking Essentials","In today's industry it is imperative that a Technician has working knowledge of networks. The foundational knowledge of computer networking ... + Read More"
"3","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7210","Microcomputer Operating Systems","A primary function of any Computer System Technician is installing and customizing the operating environment of PCs (personal computers). In... + Read More"
"4","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"5","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","MAT7401","Mathematics for Computer Systems Technicians","As technicians are often called upon to perform mathematical calculations students review mathematical fundamentals including measurement, b... + Read More"
"6","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","PRL7532","College and Career Success","Students develop and expand their abilities as lifelong learners. These abilities are essential to students as they take their place in coll... + Read More"
"7","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7207","Linux Operating System I","In the IT field it is important to be efficient in many environments. Linux is used in many organizations both in the server and workstation... + Read More"
"8","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7220","PC Troubleshooting","The ability to apply a systematic approach to troubleshooting is an essential skill. Emphasis is placed on problem analysis, methodology and... + Read More"
"9","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7222","Local Area Networks I","Effective network administration is vital to the modern business environment. The focus is on how servers function within an Active Director... + Read More"
"10","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7270","Introduction to Network Routing","Part of managing a network is managing the movement of data. This course focuses on the theory of moving data between Local Area Networks (L... + Read More"
"11","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","ENL7618","Technical Communication - Computer Systems Technician","Students achieve graduate level communication skills that computer systems technicians require in order to be successful in the workplace. T... + Read More"
"12","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","GEN7201","Ethics","Some would say that ""there is a hole in the moral ozone and it's getting bigger"". This course examines and addresses the ethical challenges ... + Read More"
"13","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","WKT7102","Cooperative Education Work Term","For students who qualify academically and who choose to participate, there is the opportunity to enhance their diploma with an officially re... + Read More"
"14","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7230","Network Security","Since maintaining security of both physical assets and data is an important responsibility of Computer Systems Technicians, the fundamentals... + Read More"
"15","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7231","Network Services and Support","Support of local and cloud-based resources and services is the focus of administering computer network services. Mastering topics other-than... + Read More"
"16","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7232","Local Area Networks II","Students utilize a wide variety of advanced administrative tools common to the Information Technology field, such as automating computer ins... + Read More"
"17","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7234","Introduction to Database Management Systems","The practice of storing information in a database is a critical service to every modern business and application.  Students learn, practice ... + Read More"
"18","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7272","Wide-Area Network Administration","Students enhance their knowledge of networking to include Wide Area Networking connections. Topics covered include Internet Protocol (IP) ad... + Read More"
"19","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","CST7277","Linux Operating System II","This course is an extension of Linux Operating System I. Students acquire the skills to administer a Linux workstation in a multi-user, mult... + Read More"
"20","Algonquin College","Computer Systems Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/computer-systems-technician/","GED1150","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
