"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8182","Networking Fundamentals","The foundational knowledge of computer networking and LAN/WAN communications is introduced. Students are also introduced to the terminology ... + Read More"
"2","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8202","Windows Operating Systems I","An introduction to the Windows operating systems is provided. Students learn to use some of the core basic commands and perform common syste... + Read More"
"3","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8207","GNU/Linux Operating Systems I","Students learn the basic concepts, features and commands of the GNU/Linux operating system and utilities, the world's most well-known Free/L... + Read More"
"4","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8300","Achieving Success in Changing Environments","Rapid changes in technology have created personal and employment choices that challenge each of us to find our place as contributing citizen... + Read More"
"5","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"6","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","MAT8002","Numeracy and Logic","Students acquire the knowledge to work with numerical systems and internal machine representations, binary/hex/octal/decimal math, Boolean l... + Read More"
"7","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8206","Foundation of IT Service Management","An introduction to the basic understanding and concepts of IT Service Management as described in the IT Infrastructure Library (ITIL) is pro... + Read More"
"8","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8208","PC System Technology","Focus is on recent, current and emerging PC hardware technologies for desktop and laptop PCs. Course content includes how computers work and... + Read More"
"9","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8239","Windows Operating Systems II","Building on previous experience with Windows Operating Systems, students explore the capabilities of Windows Server family. Topics include m... + Read More"
"10","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8305","GNU/Linux Operating Systems II","Focus is placed on the administration of a GNU/Linux stand-alone server connected to the network. Students learn how to perform and use esse... + Read More"
"11","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8315","Routing and Switching","Students learn about the architecture, components and operations of routers and switches in a small network. Students configure and troubles... + Read More"
"12","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","GED0156","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"13","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8190","PC Troubleshooting","Emphasis is placed on problem analysis methodology and techniques for finding, identifying, and correcting hardware, operating systems and s... + Read More"
"14","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8213","Network Services Administration","Students learn the concepts and skills required to set up, administer and secure essential network services on a GNU/Linux server platform. ... + Read More"
"15","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8242","Windows Operating Systems III","Expanding on previous experience with the Windows Server O/S, students focus on how to install, deploy, configure, administer and integrate ... + Read More"
"16","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8271","Enterprise Internetworks","Students extend their knowledge of the architecture, components, configuration, operation, maintenance, and troubleshooting of routers and s... + Read More"
"17","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8304","Wireless Network Administration","The fundamentals of the 802.11 wireless protocols are covered. Beginning with a comprehensive view of the electromagnetic spectrum and how i... + Read More"
"18","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8245","Advanced Scripting","Based on previous scripting knowledge and experience, students will apply programming principles using Python to build a management interfac... + Read More"
"19","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8247","IT Security Fundamentals","This course focuses on the principles and practical application of information technology security. This includes: discussions about securit... + Read More"
"20","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8248","Emerging Technologies","The only thing constant in Information Technology is change. Students will be introduced to current and future emerging technologies, such a... + Read More"
"21","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8249","Network Security","Students are introduced to the goals of IT security, common threats and counter measures, including firewalls, Intrusion Prevention Systems ... + Read More"
"22","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","ENL8720","Technical Communication for Technicians","Clear, concise and detailed communication is essential for technical workplaces. Students plan and execute a variety of formal and informal ... + Read More"
"23","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","GED0150","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"24","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8601","Securing Routers and Switches","Securing routers and switches along with their associated networks, how to recognize threats, and vulnerabilities to networks and how to imp... + Read More"
"25","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8602","Fundamentals of Penetration Testing","Students are exposed to applied skills and practical techniques required for penetration testing when used to evaluate corporate security pr... + Read More"
"26","Algonquin College","Computer Systems Technology - Security","https://www.algonquincollege.com/sat/program/computer-systems-technology-security/","CST8603","Security Law and Compliance","Students gain insight into legal and regulatory issues related to information technology and security by discussing and contrasting the Crim... + Read More"
