"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","ENL1813H","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2102","Trade Calculations and Computer Applications","In order to select appropriate menu prices, culinary professionals must be able to calculate the cost of individual portions and recipes, as... + Read More"
"3","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2103","Sanitation and Safety Training","An awareness of key regulations and requirements is a necessity in order to be equipped for the hands-on and practical components of a caree... + Read More"
"4","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2107","Theory of Food","A fundamental, theoretical knowledge of culinary concepts is essential for success in the food service industry. Students learn basic and ad... + Read More"
"5","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2111","Introduction to Applied Culinary and Butchery Techniques","Students focus on foundational cooking methods and organizational skills. Students butcher, cook and taste a variety of meats, poultry and f... + Read More"
"6","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2119","Introduction to Baking and Pastry","Students learn the basic concepts, skills and techniques of baking. Emphasis is placed on identification of products, weights and measures. ... + Read More"
"7","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2132","Culinary Fundamentals","The ability to participate in industry-scaled food production is contingent on a knowledge of fundamental knife handling skills, culinary te... + Read More"
"8","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","HOS2015","Dimensions of Food","Food is a basic need all humans share. It is highly influenced by social policy and economics. Students explore the social and political iss... + Read More"
"9","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FLD0100","Field Placement Culinary Arts","Real-world practical experience allows culinary professionals to further develop and refine their skills. Students benefit from opportunitie... + Read More"
"10","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2117","Contemporary Production Methods","Building on fundamental culinary techniques, students are exposed to different styles of cooking. Students study and apply cooking technique... + Read More"
"11","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2126","Applied Culinary Techniques","Students expand on the core cooking principles introduced in semester one. Students will focus on advanced culinary techniques with an empha... + Read More"
"12","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2129","Nutrition and Food Preparation","A poor diet may have a harmful impact on health, and many food service customers in contemporary society have specific nutritional and dieta... + Read More"
"13","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","FOD2197","Culinary Restaurant Operations","Drawing from concepts learned during semester 1 and 2, students are introduced to cooking in a restaurant environment in the college's Resta... + Read More"
"14","Algonquin College","Culinary Skills","https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/","HOS2131","Menu Planning","Students gain the necessary skills, using computer applications, to develop menus for the many sectors of the hospitality industry, includin... + Read More"
