"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","BIO4322","Microbiology I","Knowledge of various microorganisms, their biological behaviour and interactions with the host, are essential to the understanding of infect... + Read More"
"2","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","BIO4323","Human Anatomy and Physiology","Dental hygienists require a solid understanding of the human body to identify connections between general and oral health. Focus is on the s... + Read More"
"3","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","DEN4300","Dental Anatomy","Knowledge of dental terminology is the foundation for understanding and learning the content of other dental-related courses. Students learn... + Read More"
"4","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","DEN4409","Preclinic Practicum I","Practical experiences relate to the concepts and principles of instrumentation. These skills are taught and performed on a manikin. Through ... + Read More"
"5","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","DEN4411","Preclinic Practice Foundations I","Through lectures, in-class exercises and assignments, the fundamentals of client care are introduced with an emphasis on client and operator... + Read More"
"6","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","DEN4453","Radiography","The nature and principles of x-radiation and methods to safely produce diagnostically useful radiographs are essential to being a Healing Ar... + Read More"
"7","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"8","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","PSY1700","Psychosocial Science","The biological and physiological nature of human beings is integrated with psychological and sociological factors to provide a broad view of... + Read More"
"9","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","BIO4324","Head and Neck Anatomy","Knowledge of anatomical aspects of the head and neck are essential to the practice of dental hygiene. Focus is placed on the relationship be... + Read More"
"10","Algonquin College","Dental Hygiene","https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/","BIO4326","Microbiology II","The theory of oral microbiology is applied in a laboratory setting.  The relationship of dental plaque biofilm to oral disease is articulate... + Read More"
