"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1137","Paraprofessionals in Education","Paraprofessionals are an essential component of successful education for students with exceptionalities. Students are introduced to the exce... + Read More"
"3","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1153","Developmental Disabilities","Knowledge of the history of services for persons with developmental disabilities is critical for direct support professional to examine curr... + Read More"
"4","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1155","Augmentative Communication","The need to communicate is universal. Students are acquainted with normal and exceptional language development and a wide range of communica... + Read More"
"5","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1264","Introduction to the Field of Developmental Services","A career as a developmental services worker can be a rewarding profession with many job opportunities working to support individuals with di... + Read More"
"6","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1265","Pharmacology I","Developmental services workers are at times required to administer medications. Students learn the principles of pharmacology that are essen... + Read More"
"7","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1267","Persons with Profound Intellectual and Multiple Disorders","Identification of the basic principles governing fine, gross, and sensory motor development are essential when working with persons with pro... + Read More"
"8","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1290","Human Physiology and Health 1","Understanding how the human body works is essential for supporting the health and well-being of persons with disabilities. Students study im... + Read More"
"9","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","ENL1880F","Professional Communication for Developmental Services Workers","As record keepers and advocates for their clients, developmental services workers write documentation, such as incident reports and daily lo... + Read More"
"10","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM0039","Learning and Behaviour Support","Developmental services workers participate on a daily basis in the complex process of providing behaviour support to people with development... + Read More"
"11","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1110","Person-Centred Planning","Understanding person-centered planning involves appreciating the balance between guidance and control. Students are introduced to assessment... + Read More"
"12","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1169","Community Field Placement I","Field placement experiences are critical when entering human services, for they allow students to explore concepts, such as inclusion, empow... + Read More"
"13","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1262","Current Topics in the Field of Developmental Services","The field of developmental services is complex, and dynamic and offers many challenges for those working in the profession. Students examine... + Read More"
"14","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1266","Pharmacology II","Safe administration of medication requires an understanding of safe practices, as well as how drugs work and affect the human body. Students... + Read More"
"15","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1291","Human Physiology and Health II","Understanding how the human body functions is essential when supporting the health and well-being of persons with disabilities. Focus is mai... + Read More"
"16","Algonquin College","Developmental Services Worker","https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/","FAM1177","Employment and Developmental Disabilities","An understanding of vocational and non-vocational adult services is essential when working with adults with developmental disabilities. Stud... + Read More"
