"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1002","Sonography Physics and Instrumentation I","A thorough understanding of the foundational scientific theory relating to ultrasound is required for successful use of sonographic technolo... + Read More"
"2","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1023","Introduction to Echocardiography","Cardiac Sonographers must have thorough knowledge of the cross-sectional anatomy of the heart to achieve accurate sonographic images. Learne... + Read More"
"3","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1024","Cardiac Scanning Lab I","It is essential that sonographers are competent at utilizing sonographic equipment. Under direct supervision and assistance of the instructo... + Read More"
"4","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1025","Applied Cardiovascular Physiology","Cardiac Sonographers evaluate the anatomy and physiology of the cardiovascular system at a variety of levels. Learners develop the ability t... + Read More"
"5","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1035","Professional Practice and Legislation for Medical Imaging Professionals","Legislation and regulations govern the practice of the medical radiation technologist. Students gain an understanding of the roles of profes... + Read More"
"6","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1007","Sonography Physics and Instrumentation II","Ultrasound equipment is highly technical and requires intricate knowledge of physics and instrumentation to operate safely and effectively. ... + Read More"
"7","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1026","Pathology and Function of the Adult Heart","Understanding pathophysiology and etiology of normal and abnormal cardiac function and pathology in the adult heart is essential for the Car... + Read More"
"8","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1027","Congenital Heart Disease","Cardiac Sonographers analyze normal and abnormal cardiac embryology, fetal circulation and the segmental approach to scanning congenital hea... + Read More"
"9","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1028","Valvular Disease","Understanding pathophysiology, etiology and sonographic appearances of the disease states of heart valves is essential to the practice of Ca... + Read More"
"10","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1029","Cardiac Scanning Lab II","Essential skills are necessary before entering a clinical site to practice sonography. By scanning the heart with direct and indirect superv... + Read More"
"11","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1038","Patient Management for Medical Imaging Professionals","Best practice standards guide the Medical Imaging Professional to provide care to the patient. Students learn the principles of conducting r... + Read More"
"12","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1039","Patient Management Skills for Medical Imaging Professionals","The support, care and understanding of the patient is the primary role of the Medical Imaging Technologist. Using case scenarios, students p... + Read More"
"13","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1030","Clinical Practical I","It is necessary for sonographers to be proficient at performing sonography in the clinical environment. Learners integrate applied didactic ... + Read More"
"14","Algonquin College","Diagnostic Cardiac Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/","IMG1031","Clinical Practicum II","Cardiac Sonographers in the clinical setting are experts in their field and work in a competent and professional manner. Learners refine the... + Read More"
