"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1001","Cross-Sectional Imaging for Sonography","Sonographers co-relate cross-sectional images from multiple modalities to analyze and apply the best possible methodology to current sonogra... + Read More"
"2","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1002","Sonography Physics and Instrumentation I","A thorough understanding of the foundational scientific theory relating to ultrasound is required for successful use of sonographic technolo... + Read More"
"3","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1004","Obstetrical and Gynecological Sonography I","Sonographers require comprehensive knowledge of the female reproductive system in both gravid and non-gravid conditions. By investigating an... + Read More"
"4","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1016","Sonography of Superficial Structures","Scanning superficial structures is an inherent skill that the generalist sonographer needs to be competent at differentiating normal from ab... + Read More"
"5","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1017","Sonography Skills Laboratory I","It is essential that sonographers are experts at utilizing sonographic equipment. Under direct supervision and assistance of the instructor,... + Read More"
"6","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1019","Foundations for Sonography","Professionals in the field of sonography require knowledge of their roles and responsibilities. In this course, learners explore the foundat... + Read More"
"7","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1034","Abdominal Sonography","Proper imaging requires a thorough knowledge of sonographic anatomy. Learners review anatomical structures of the abdomen and relate the inf... + Read More"
"8","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1035","Professional Practice and Legislation for Medical Imaging Professionals","Legislation and regulations govern the practice of the medical radiation technologist. Students gain an understanding of the roles of profes... + Read More"
"9","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1007","Sonography Physics and Instrumentation II","Ultrasound equipment is highly technical and requires intricate knowledge of physics and instrumentation to operate safely and effectively. ... + Read More"
"10","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1008","Sonographic Pathology of the Abdomen","Sonographers must possess advanced skills in recognition and analysis of sonographic pathology and normal variants. Through in-depth explora... + Read More"
"11","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1018","Sonography Skills Laboratory II","Essential skills are necessary before integrating into the clinical environment to practice sonography. By scanning various organ systems wi... + Read More"
"12","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1033","Musculoskeletal Sonography","The use of sonography for evaluation of musculoskeletal systems is continuously growing. To comprehend sonographic imaging of musculoskeleta... + Read More"
"13","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1036","Obstetrical and Gynecological Sonography II","Recognizing and analyzing abnormalities in fetal development, as well as in the female reproductive system are imperative skills for sonogra... + Read More"
"14","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1037","Vascular Sonography","To be successful at vascular sonography, one requires a thorough knowledge and comprehension of the body's vascular system and its functions... + Read More"
"15","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1038","Patient Management for Medical Imaging Professionals","Best practice standards guide the Medical Imaging Professional to provide care to the patient. Students learn the principles of conducting r... + Read More"
"16","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1039","Patient Management Skills for Medical Imaging Professionals","The support, care and understanding of the patient is the primary role of the Medical Imaging Technologist. Using case scenarios, students p... + Read More"
"17","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1013","Clinical Practicum I","It is necessary for sonographers to be proficient at performing sonography in the clinical environment.  Learners integrate applied theoreti... + Read More"
"18","Algonquin College","Diagnostic Medical Sonography","https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/","IMG1014","Clinical Practicum II","Sonographers in the clinical setting are experts in their field and work in a competent and professional manner. Learners enhance their tech... + Read More"
