"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","COM0009","Communication for Digital Health","Effective communication is essential for professionals working in digital health. Students use various communication strategies and tools fo... + Read More"
"2","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","CST0003","Digital Health Information Technology I","Leaders in digital health require comprehensive knowledge of the fundamental concepts and components that make up the digital health ecosyst... + Read More"
"3","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0231","Values and the Interprofessional Team","As key members of the healthcare team, digital health professionals must function as competent interprofessional collaborators. Students are... + Read More"
"4","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0232","The Canadian Healthcare System","The Canadian healthcare system is complex and multi-faceted, raising unique information technology requirements. Emphasis is on examining ho... + Read More"
"5","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","MGT0097","Leadership and Management of Change in Digital Health","Successfully integrating digital health solutions into a healthcare setting requires knowledge and skills in health management. Students eng... + Read More"
"6","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","MGT0098","Project Management in Digital Health","A solid foundation in project management is essential for individuals interested in leading innovative projects within and across discipline... + Read More"
"7","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","CST0004","Health Data Standards","Maintaining health data standards is critical in the digital health ecosystem in order to support the meaningful collection, storage and use... + Read More"
"8","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","CST0005","Digital Health Information Technology II","Leaders and managers in digital health, who wish to be on the cutting-edge of the rapidly evolving technology curve, benefit from the explor... + Read More"
"9","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0233","Workflow, Human Factors and Patient Safety","Clinical processes and workflows are an important aspect of maintaining best practices and improving quality and patient safety. The introdu... + Read More"
"10","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0234","Health Ethics and Privacy","For healthcare to be delivered effectively individuals must often divulge sensitive personal information and agree to invasive procedures. T... + Read More"
"11","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0235","Digital Health Project I","Projects bring students together to apply practical skills and theory in an interprofessional team-based setting. Students draw from theory ... + Read More"
"12","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","EDU0009","Education for Digital Health Implementation","Successfully implementing digital health solutions in an organization requires designing and delivering educational programs for management,... + Read More"
"13","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0236","Health Informatics - Project II","Projects bring students together to apply practical skills and theory in an interprofessional team-based project setting. Students draw from... + Read More"
"14","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0237P","Digital Health Practicum","The practicum is an opportunity for students to practise the breadth and depth of knowledge and skills gained throughout the program in a cl... + Read More"
"15","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","HLT0237S","Digital Health Seminar","Gaining work experience in an appropriate setting will help a new graduate find a rewarding career. Students learn the nature and function o... + Read More"
"16","Algonquin College","Digital Health","https://www.algonquincollege.com/healthandcommunity/program/digital-health/","MGT0099","Digital Health Systems Design and Analysis","Sound reasoning should support all decisions regarding the introduction of digital health solutions into an organization. With focus on stra... + Read More"
