"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","EDU4110","Human Development I","Child development knowledge is used by educators and other professionals to help guide their work with children. Using developmental and lea... + Read More"
"2","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","EDU4113","Historical Overview of Early Learning and Family Services","Educational, social and political policies influence early learning programs and family services. Students examine the historical developmen... + Read More"
"3","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","EDU4122","Ethics and Legislation in Early Learning","Legislation guides educators as they plan, implement and evaluate early learning programs for children and their families. Students explore ... + Read More"
"4","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"5","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","PSY4111","Social Psychology","Social Psychology represents a diverse area of study where scientific methods/principles are used to explain how individual behaviours and w... + Read More"
"6","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","EDU4114","Introduction to Curriculum","Effective curriculum is a major component of quality learning programs. Using learning theories and theories of play, students examine the v... + Read More"
"7","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","EDU4120","Human Development II","Professionals working with children and families use knowledge of child and adolescent development to guide their practice. Students examine... + Read More"
"8","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","EDU4123","Supporting Children with Exceptionalities","Educators require diverse skills and knowledge to work successfully with a wide variety of families who have children with exceptionalities.... + Read More"
"9","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
"10","Algonquin College","E*Bachelor of Early Learning and Community Development (Honours)","https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/","PSY4121","Educational Psychology","Knowledge of how individuals learn is important when developing effective curriculum. Through reflection, students examine their existing be... + Read More"
