"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","DAT8942","Computer Applications - Electrical","Students are introduced to the College computer network, spreadsheet applications, word processing software and electrical design software, ... + Read More"
"2","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8909","Electrical Principles I","Students are introduced to the fundamentals of direct current circuit analysis. The standards for electrical measurement are studied and pra... + Read More"
"3","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8913","Codes and Regulations","Students locate and interpret the Canadian Electrical Code rules that ensure that electrical systems and equipment do not create hazardous c... + Read More"
"4","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8919","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"5","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"6","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","MAT8100","Essential Mathematics","The study of algebraic and transcendental functions is an essential prerequisite to Calculus. Students manipulate algebraic expressions, sol... + Read More"
"7","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","DAT8921","Introduction to Programming","Students learn to create structured programs in a high-level language to solve engineering problems. This course emphasizes problem-solving ... + Read More"
"8","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8921","Electromagnetic Control","Students cover the design, installation and troubleshooting of relay logic, electronic logic, electromagnetic controls and AC motor control ... + Read More"
"9","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8922A","Electrical Principles - II","Resistive, inductive and capacitive circuits in both DC and AC (including power factor correction) are covered. Operation of basic electroni... + Read More"
"10","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8923","Electrical Machinery","Beginning with electromagnetism and induction, single phase and three phase transformers are studied.  Schematic representation using single... + Read More"
"11","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","PHY8201","Environmental Impact of Technology","Every day newspaper headlines, movies, and television have warnings of the dire consequences of some environmental issues, such as global wa... + Read More"
"12","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","WKT2101E","Co-op Work Term Electrical","This course includes a work placement, a weekly recording of the activities done in a journal and a final summary report of the overall expe... + Read More"
"13","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8930","Power Electronics","This course extends the study of analog circuits and digital logic building blocks from previous courses. Students study the principles and ... + Read More"
"14","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8932","Programmable Controllers","This Programmable Logic Controllers (PLC) course extends the principles learned in the first year and applies them to programmable logic con... + Read More"
"15","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","ELE8944","Building Electrical Systems with AutoCAD","Students develop their AutoCAD skills including the use of layers, blocks, PaperSpace, ModelSpace, block attributes, dynamic blocks, templat... + Read More"
"16","Algonquin College","Electrical Engineering Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/electrical-engineering-technician/","MAT8101","Differential Calculus","Differential Calculus is the mathematical study of rates of change. The derivative, its definition and interpretation and its applications a... + Read More"
