"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8711","Canadian Electrical Code - Level 1","Upon successful completion, the apprentice is able to apply the requirements of the Canadian Electrical Code - Part 1 (CEC) to identify and ... + Read More"
"2","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8712","Prints - Level 1","Upon successful completion, the apprentice is able to identify and interpret the alpha numerical lines; use the metric and imperial scales a... + Read More"
"3","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8713","Electrical Theory - Level 1","Upon successful completion, the apprentice is able to understand electron theory; define voltage, current and resistance, as well as electri... + Read More"
"4","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8714","Installation Methods - Level 1","Upon successful completion, the apprentice is able to demonstrate the operation of common hand and power tools; install common switching dev... + Read More"
"5","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8715","Instrumentation - Level 1","Upon successful completion, the apprentice is able to explain common terms used in instrumentation systems; work with the SI and Imperial sy... + Read More"
"6","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8716","Electronics - Level 1","Upon successful completion, the apprentice is able to identify schematic symbols for North American and European basic logic gates; describe... + Read More"
"7","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8721","Canadian Electrical Code - Level 2","Upon successful completion, the apprentice is able to: interpret the CEC requirements pertaining to the installations for: interior and exte... + Read More"
"8","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8722","Prints - Level 2","Upon successful completion, the apprentice is able to: determine utility location and site features using site drawings; determine methods o... + Read More"
"9","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8723","Electrical Theory - Level 2","Upon successful completion, the apprentice is able to: describe magnetic flux and flux density; solve problems associated with magnetic ener... + Read More"
"10","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8724","Installation Methods - Level 2","Upon successful completion, the apprentice is able to: identify the mechanical parts, windings and wiring connections of DC machines; demons... + Read More"
"11","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8725","Instrumentation - Level 2","Upon successful completion, the apprentice is able to: identify and describe the operation of various level and flow sensing instruments; dr... + Read More"
"12","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8726","Electronics - Level 2","Upon successful completion, the apprentice will have demonstrated the ability to: use an oscilloscope to test circuits; explain the importan... + Read More"
"13","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8727","Monitoring and Communication Systems - Level 2","Upon successful completion, the apprentice will have demonstrated the ability to: describe the operation, installation, testing and troubles... + Read More"
"14","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8731","Canadian Electrical Code - Level 3","Upon successful completion, the apprentice is able to interpret the CEC requirements pertaining to the installations for: two or more contin... + Read More"
"15","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8732","Prints - Level 3","Upon successful completion, the apprentice is able to: obtain installation details for a construction project from a complete set of drawing... + Read More"
"16","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8733","Electrical Theory - Level 3","Upon successful completion, the apprentice is able to: list the advantages of three phase circuits over single phase circuits; state the adv... + Read More"
"17","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8735","Instrumentation - Level 3","Upon successful completion, the apprentice is able to: describe the use and list the requirements for instrumentation air supplies; explain ... + Read More"
"18","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8737","Electronics - Level 3","Upon successful completion, the apprentice is able to: state how three-phase rectification is accomplished; connect a single quadrant DC mot... + Read More"
"19","Algonquin College","Electrician (Construction and Maintenance) (Apprenticeship)","https://www.algonquincollege.com/acce/program/electrician-construction-and-maintenance/","ELE8740","Installation Methods - Level 3","Upon successful completion, the apprentice is able to: test transformers to determine polarity, impedance, winding ratio and insulation resi... + Read More"
