"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","BSC6000","Advanced Building Systems","Mechanical systems and equipment account for almost two-thirds of the electricity consumed in typical industrial and commercial sectors. Maj... + Read More"
"2","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","ELE9001","Energy Concepts","Energy systems are complex and practitioners are required to have a broad understanding of the sector. Students explore the technical comple... + Read More"
"3","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","ELE9002","Energy Industry Landscape","The energy industry is both highly regulated and complex. Students learn about the structure of the energy industry and how utilities operat... + Read More"
"4","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","ENV9000","Alternative Energy Systems","Traditional forms of energy supply are evolving to incorporate newer technologies and innovations. Students learn about traditional and rene... + Read More"
"5","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","MGT4500","Project Management Fundamentals","Managing projects is an essential component in today's business environment and mastering concepts, tools and techniques can help manage pro... + Read More"
"6","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","SCI4003","Scientific Communication for Public Policy","Clear, concise and effective communication is required for success in this industry. Students explore and apply industry-specific technical ... + Read More"
"7","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","BSC6001","Control Systems and Building Automation","To ensure the operational performance of a facility, as well as the comfort and safety of building occupants, intelligent systems including ... + Read More"
"8","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","BSC6002","Energy Assessment","A thorough and systematic review of how energy is used within a system is necessary before any recommendations or improvements can be made. ... + Read More"
"9","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","BSC6003","Presenting an Effective Energy Business Case","A comprehensive assessment of the goals, initiatives, risks, costs and benefits enables organizations to make informed decisions. Students a... + Read More"
"10","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","ELE9003","Smart Grid and Advanced Metering Technology","Technology advances in sensing, computing and communications are resulting in an evolving and 'smarter' distribution grid. Students explore ... + Read More"
"11","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","ENG9001","Advanced Analytics and Modelling","Consumption and cost of energy is influenced by many factors, all of which require an in-depth understanding before recommendations are made... + Read More"
"12","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","ENG9002","Energy Management Project","Possessing real-world experience in the Energy Management field is desirable from an employer's perspective. Students work in groups with pe... + Read More"
"13","Algonquin College","Energy Management (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/energy-management/","WKT4403","Energy Managment Work Term","This course includes a work placement, a weekly recording of the activities done in a journal and a final summary report of the overall expe... + Read More"
