"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","ENV7003","Environmental Policy I","The environmental policy practitioner must be trained to analyze environmental policy, law, and regulations, whether working in business or ... + Read More"
"2","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","ENV7005","Environmental Policy II","In the environmental sector practitioners apply policy, law and regulations to design and evaluate actions for environmental protection. Stu... + Read More"
"3","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","GIS7010","GIS and Spatial Data Foundations","Knowledge of projections and geographic coordinate systems is essential for environmental professionals. Students learn the fundamentals of ... + Read More"
"4","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","GIS7011","Environmental Map Design","Students develop skills in environmental map design. Students explore the relationship between common statistics and geographic data, and ap... + Read More"
"5","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","SCI7002","Sustainable Hydrology","Hydrologists apply scientific knowledge and mathematical principles to solve water-related problems in society. Students acquire a better un... + Read More"
"6","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","SCI7003","Scientific Communication for Public Policy","Clear, concise and effective communication is required for success in this industry. Students explore and apply industry-specific technical ... + Read More"
"7","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","SCI7007","Biodiversity and Conservation","Understanding the impacts of urban and industrial development on biodiversity and ecosystem functions is important, as it may guide zoning d... + Read More"
"8","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","ENV7002","Field Tech. & Sample Acquisition","Environmental professionals require a variety of hands-on, practical skills in order to succeed in this diverse and dynamic sector. Students... + Read More"
"9","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","ENV7006","Environmental Auditing and Site Assessment","Students acquire the tools to perform high-level environmental audits and site assessments. Students gain an in-depth understanding of Ontar... + Read More"
"10","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","ENV7008","Environmental Modelling and Risk Assessment","Understanding the underlying assumptions of environmental models, and their impact on decision-making processes is essential to determine th... + Read More"
"11","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","MGT7501","Project Management Fundamentals","Managing projects is an essential component in today's business environment and mastering concepts, tools and techniques can help manage pro... + Read More"
"12","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","SCI7000","Sample Processing and Analysis","Environmental professionals should be able to follow a project from idea through the sampling, analysis and reporting stages. Students use i... + Read More"
"13","Algonquin College","Environmental Management and Assessment (Co-op and Non Co-op Version)","https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/","WKT1517X","Environmental Management And Assessment Work Term","Students gain valuable on-the-job experience. This Cooperative Education work-term develops further technical expertise for students.... + Read More"
