"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","CSP3000","Customer Care and Interpersonal Dynamics","Clients are the mainstay of any Wellness Centre's existence. Students obtain the skills needed to provide effective customer service. Studen... + Read More"
"2","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","DAT2000","Computer Skills for Salon and Spa","Students examine how various software applications are used to facilitate the daily operations of a Wellness Centre. They learn how to book ... + Read More"
"3","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","ENL1813H","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"4","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","GEN1002","Morals, Values and Ethical Principles: What Influences You?","Some would say that ""there is a hole in the moral ozone and it's getting bigger."" Ethical challenges we face every day are examined and addr... + Read More"
"5","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT1101","Skin Care I","The science of skin histology and physiology are the foundations that estheticians need to know before caring for the skin. The structure, c... + Read More"
"6","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT1102","Nail Care Techniques","The nail and its structure and composition, bacteria and fungus nail diseases and disorders, proper nail care techniques, and manicure and p... + Read More"
"7","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT1103","Esthetics Practical Lab I","Students apply acquired skills and knowledge to a hands-on lab environment. Working on classmates and clients, students practice a variety o... + Read More"
"8","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT1112","Health and Safety","Maintaining a healthy and safe environment is now recognized as an essential component of the wellness industry.  Modern safety practitioner... + Read More"
"9","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","COS2000","Makeup Artistry and Cosmetology","Students are introduced to the root of makeup artistry through the color wheel, color theories, facial shapes and facial features. Students ... + Read More"
"10","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","ENL1823H","Communications II","Employers emphasize the need for communication skills that are effective in challenging workplace situations. Using a practical, vocational ... + Read More"
"11","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","FLD2109","Spa Operations I","The spa operation component provides students with an opportunity to apply practical knowledge through a simulated esthetics environment. St... + Read More"
"12","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT1100","Hair Removal","General differences and methods of hair removal are examined for esthetic, cultural, gender, medical and religious reasons.  Students study ... + Read More"
"13","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT2000","Skin Care II","Students develop skills in using esthetic equipment while performing a wide variety of facial treatments. Students learn how to professional... + Read More"
"14","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT2102","Esthetics Practical Lab II","Students apply acquired skills and techniques on classmates and clients. A variety of spa services including skin analysis and facial techni... + Read More"
"15","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","GED1103","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"16","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","FLD3100","Spa Operation II","Students gain experience in a simulated esthetics spa/business environment. Students practise techniques introduced in theory and practical ... + Read More"
"17","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT2101","Spa and Body Treatments","As demographics show the predominance of the population aging, spa and body treatments are more in demand. Students are introduced to the st... + Read More"
"18","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT3000","Skin Care III","Over the years, medical teams have recognized a need for trained clinical estheticians, as they have the skills to perform advanced skin car... + Read More"
"19","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","HLT3101","Esthetics Practical Lab III","Students apply the skills and techniques gained through a hands-on lab environ of spa services including advanced skin care procedures, adva... + Read More"
"20","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","MGT3000","Small Business Practices","Entrepreneurship and small business ownership practices are introduced. Students explore financial planning for business and learn career bu... + Read More"
"21","Algonquin College","Esthetician","https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/","GED1103","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
