"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1304","Logistics, Operations and Risk Management","Students acquire an understanding of event operations. Event tasks and operational functions are examined pertaining to the three phases of ... + Read More"
"2","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1319","Event Programming and Entertainment","Principles behind planning, organizing and implementing programs, entertainment and activities for events are introduced. Key components inc... + Read More"
"3","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1334","Computer Applications for Events","A strong understanding of software applications used to create event management documents is achieved. Students work with MS Excel, Word, Po... + Read More"
"4","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1339","Food and Beverage Managerial Cost Analysis","The role of food and beverage within event management is examined. Students become familiar with food service options, menu planning, contra... + Read More"
"5","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1342","Event Management Strategies","Students acquire an understanding and skills related to the processes involved in overall management of events. Critical path, goal developm... + Read More"
"6","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1347","Event Projects I Practical","Event teams conceptualize, create goals and objectives and design programming elements for a fundraising event. Team policies and procedures... + Read More"
"7","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1349","Event Projects I Theory","A wide range of field placement opportunities, such as the selection process, guidelines, forms and documents, tasks, duties and performance... + Read More"
"8","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1327","Event Projects II Practical","Students incorporate event management strategies and tactics into the planning of their event. Teams finalize and execute their fundraising ... + Read More"
"9","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1335","Field Work","Field work provides students with the opportunity to apply the skills and knowledge learned in the classroom to events taking place in their... + Read More"
"10","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1337","Event Projects II Theory","Students are exposed to a variety of industry speakers. In discussion groups, students share field work experiences. Leadership styles and t... + Read More"
"11","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1343","Human Resources and Volunteer Management","Students gain in-depth knowledge of common human resources techniques. Emphasis is on recruitment, supervision, training, evaluation and rec... + Read More"
"12","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1344","Revenue and Partnership Development","A variety of revenue generating techniques are presented. Event partnerships and sponsorships are examined addressing the economic environme... + Read More"
"13","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1348","Media and Marketing Concepts","Focus is placed on the development of marketing plans, including the integration of promotions, direct selling, public relations and adverti... + Read More"
"14","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1328","Programming for Meetings and Conferences","Students develop a conference program including speaker and entertainment selection, delivery methods, such as workshops, plenary, round tab... + Read More"
"15","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1329","Programming for Galas, Weddings and Festivals","Students discover the variety of programming elements and themes available for festivals. Elements of wedding planning, such as dress select... + Read More"
"16","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1338","Programming for Trade Shows, Corporate and Government Events","Students plan successful corporate events to entertain clients, launch new products, recognize employees and develop incentive programs. Stu... + Read More"
"17","Algonquin College","Event Management","https://www.algonquincollege.com/hospitalityandtourism/program/event-management/","FAE1350","Programming for Sports, Concerts and Charitable Events","A variety of programming elements for sports events around the world are covered. Students also learn about scheduling and draws for sportin... + Read More"
