"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","MAD8010","Digital Citizenship","Increasingly, students are experiencing online components as part of their course delivery. Blended and online courses require specific skil... + Read More"
"3","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3101","Cinematography I","Lighting and camera angle play an important role in how an image is interpreted. Through hands-on activities, students learn the basics of s... + Read More"
"4","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3102","Production I","A film and television production is a collection of moving parts. Students work together in groups to create film/video projects using the p... + Read More"
"5","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3103","Film Theory","Reflecting on what has been done before is the key to creating something new. Students examine many genres of film with the goal of apprecia... + Read More"
"6","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3104","Motion Graphics I","Modern film and television production rely heavily on the constructed image, an image that is created and animated inside a computer rather ... + Read More"
"7","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3105","Editing and Audio Workflow I","A film really starts to take shape in the edit suite. Students learn the basic theory and techniques of storytelling with moving images usin... + Read More"
"8","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3106","Production Management I","Business and entrepreneurial skills are critical in the development, management and marketing of productions, whether it is a relatively low... + Read More"
"9","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3107","Scriptwriting I","A script for professional film and television projects follows a strict set of formatting guidelines and standards. Students study the vario... + Read More"
"10","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3201","Cinematography II","A camera move can steer an audience's point of view and the lighting shows them where to look. Students learn advanced lighting techniques a... + Read More"
"11","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3202","Production II","A film and television production is huge undertaking. Breaking a production into smaller tasks is essential to completion. Using short film ... + Read More"
"12","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3203","Film Theory II","Modern cinema is composed of the rich legacy bequeathed to us by a long list of avant-garde filmmakers. Students examine the cinematic aesth... + Read More"
"13","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3204","Motion Graphics II","When seamlessly integrated with live action footage, motion graphics have the ability to transform the viewer's perception of reality and en... + Read More"
"14","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3205","Editing and Audio Workflow II","Editing video in large film and television projects is more complex than simply arranging the timing and sequence of different shots. It is ... + Read More"
"15","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3206","Production Management II","From cost reports to negotiating crew and talent, advanced training for emerging producers and production managers is provided. Students acq... + Read More"
"16","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3207","Scriptwriting II","The writing department has different obligations in a television series than in a feature film. Students write for a variety of television g... + Read More"
"17","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3302","Production III","Taking a script and turning it into a film requires a lot of professionals and processes. Building on previous knowledge and skills, student... + Read More"
"18","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3304","Employment Preparation and Portfolio Development","Entering the job market in creative fields can be a daunting task for new graduates. Emphasis is placed on enabling students to properly sho... + Read More"
"19","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3305","Field Placement","The classroom can only take a student so far in understanding the wide range of specialized roles available to them in the film industry. St... + Read More"
"20","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3301","Advanced Cinematography and Lighting","Students hone their field production skills with the goals of becoming a sound recordist, grip, lighting director or cinematographer. Indust... + Read More"
"21","Algonquin College","Film and Media Production","https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/","TVA3303","Advanced Post-Production Workflow","Editing, sound design and colour correction are specialized areas of production. Without a proficient post-production team, an excellent scr... + Read More"
