"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2311","Personal Financial Services Advice","The thought of managing one's own savings, selecting the right insurance, planning for a major purchase, as well as preparation for retireme... + Read More"
"2","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2312","Financial Planning 1","Major life changes can bring about challenges that many of us are unprepared for. How do we prepare for these challenges without jeopardizin... + Read More"
"3","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2313","Canadian Securities Course 1","In-depth industry knowledge is highly regarded in the financial workplace. A framework for analyzing Canadian financial markets, institution... + Read More"
"4","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2314","Customer Behaviour and Financial Needs","Students learn the importance of ethics and trust in developing customer relationships in financial services and practice acquiring intervie... + Read More"
"5","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2318","Professional Portfolio Development 1","Using a variety of reflection and analysis tools for competency identification and mapping for employment, students gain an understanding of... + Read More"
"6","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","MKT2111","Relationship Selling","Developing a foundation and practice in sales and communications skills are perceived as vital to an individual's success within the financi... + Read More"
"7","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2111","Consumer Credit","Develop marketable skills in credit application processing and analysis. Examine complex consumer lending products and services available to... + Read More"
"8","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2322","Professional Portfolio Development 2","It is essential for students to engage in the use of reflection and self-analysis to map their journey for employment, professional developm... + Read More"
"9","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2326","Canadian Securities Course 2","The CSC designation is a highly sought out credential in the financial workplace. Building from CSC 1 in semester one, this course provides ... + Read More"
"10","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2327","Financial Planning 2","Students apply financial planning concepts to determine the proper strategy for clients. Through case studies and group work students collec... + Read More"
"11","Algonquin College","Financial Services","https://www.algonquincollege.com/business/program/financial-services/","FIN2328","Personal Financial Planning","In this capstone course, students have an opportunity to apply financial knowledge and skills to evaluate customer situations and create pro... + Read More"
