"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2210","Fitness Operations","Managing a safe and effective fitness facility requires skills and knowledge in the areas of risk management, human resources management, po... + Read More"
"3","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2212","Introduction to Fitness/Wellness","Fitness, wellness and the dimensions of a healthy lifestyle are important for fitness personnel. Students have an opportunity to develop and... + Read More"
"4","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2213","Leadership in Society","Leadership and leadership styles affect society. Different models of leadership are examined, as well as a history of leadership in society.... + Read More"
"5","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2214","Nutrition","The exercise leader is provided with a fundamental background in nutrition as it relates to a healthy lifestyle and healthy eating choices. ... + Read More"
"6","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2215","Physiology","An introduction to the various systems of the body, including the muscular, nervous, cardiorespiratory, energy and endocrine systems is prov... + Read More"
"7","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2217","Anatomy for Fitness Leaders","Students develop a solid understanding of the anatomical basis of movement and exercise. By focusing on the skeletal system, skeletal muscle... + Read More"
"8","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2219","Field Project 1","Being comfortable in a fitness environment is important for graduates entering the workforce. Students complete a placement/project intended... + Read More"
"9","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","ENL1832C","Report Writing for Recreation","Clear, concise and accurate reporting skills are essential for effective and efficient record keeping and project planning. Students work in... + Read More"
"10","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2220","Fitness Assessment","Designing and prescribing appropriate fitness and lifestyle programs to improve fitness and health begins with being able to assess the phys... + Read More"
"11","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2222","Mechanics of Exercise","Understanding how the body works is essential for professionals in health and fitness. Students identify how the bones, muscles and joints f... + Read More"
"12","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2224","Group Fitness I","Many people prefer to participate in fitness and related activities in a group setting, most often integrated with music. Students are intro... + Read More"
"13","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2225","Exercise Physiology","An understanding of how the body functions during exercise and how it adapts to long-term exercise is important for a fitness and exercise l... + Read More"
"14","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2226","Psychology","Psychology is an important field of study for the fitness leader or wellness coach. Students learn the basic concepts in the field of psycho... + Read More"
"15","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2227","Technology in Fitness","Technology plays a large role in fitness and health-related settings. Students become competent with computer-based applications and fitness... + Read More"
"16","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2229","Field Project 2","Exposure to a variety of fitness and health-related settings allows students to choose a career path. Students are provided further opportun... + Read More"
"17","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2230","Sports Injuries/Exercise Safety","The importance of exercise safety as the best method of preventing sports injuries is emphasized. Ensuring safe exercises and facilities red... + Read More"
"18","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2233","Group Fitness II","Students further develop their skills as group fitness leaders. Students create and instruct group fitness classes and participate in specia... + Read More"
"19","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2235","Career Planning and Professional Development","Developing a successful career in any field begins with having a plan of action. Students create a personal career plan related to their car... + Read More"
"20","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2236P","Field Placement I","Theory and practical classes help prepare a student for the workplace and their careers. Students apply skills and knowledge gained in class... + Read More"
"21","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2237","Personal Training","Many people seek the assistance of a personal trainer to improve their fitness levels or to help them create a healthier lifestyle. Students... + Read More"
"22","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2243","Fitness Management Customer Service","Customer service is the basis for a successful fitness and wellness industry. The essential components of good customer service, including n... + Read More"
"23","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","GED3010","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"24","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2240","Programming for Diverse Populations","Increasingly, people from all age groups, fitness levels and health statuses are seeking advice on ways to improve their fitness and health.... + Read More"
"25","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2242","Marketing and Entrepreneurship","Many fitness and wellness leaders choose to work for themselves. In order to be successful it is important to understand how to promote a ne... + Read More"
"26","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2244","Health and Wellness Promotions","Many jobs exist outside of commercial and private fitness centers. Students are provided with knowledge in the area of health and wellness p... + Read More"
"27","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2245","Sports Nutrition","The volume of research on the role of nutrition in health and wellness, as well as performance, continues to grow. Students learn the import... + Read More"
"28","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2246","Field Placement Seminar","Gaining work experience in an appropriate setting will help a new graduate find a rewarding career. Students learn the nature and function o... + Read More"
"29","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2247P","Field Placement II","From previous field projects and placements, students begin to choose a career path. Students complete a placement in a setting related to t... + Read More"
"30","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2248","Fitness Management Finance","In order to be successful in any business, a basic understanding of financial management is necessary. Students are introduced to introducto... + Read More"
"31","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2251","Personal Training Certification","Certification is an important part of working in the fitness industry as a personal trainer. Students are presented with the requirements fo... + Read More"
"32","Algonquin College","Fitness and Health Promotion","https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/","FIT2261","Group Fitness Certification","Certification is an important asset to have in the fitness industry as a group fitness instructor. Students are presented with the requireme... + Read More"
