"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","DAT7670","Microcomputer Applications","The ability to communicate effectively using technology is essential in the education and employment fields. Students develop and apply coll... + Read More"
"2","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7310","The Forest Environment","Students practise the basic skills required in forestry throughout Canada. Students interpret and determine areas, coordinates, compass dire... + Read More"
"4","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7311","Dendrology","Focus is placed on the identification of local forest vegetation in the summer and winter conditions by leaf, twig, bark, log and form. Stud... + Read More"
"5","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7312","Ecology","Students examine the silvics of tree species, which deals with the growth and development of single trees and of forests, in their natural e... + Read More"
"6","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7314","Soils and Landforms","The characteristics of common soils with emphasis on the physical, chemical and biological features are explored. Students spend a portion o... + Read More"
"7","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7316","Wildlife","Students learn to identify various species of wildlife. Special emphasis is placed on the identification and management of forest hawk habit... + Read More"
"8","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7317","Remote Sensing","Students are introduced to remote sensing using historical and modern forest imaging techniques such as LiDAR, Multispectral and Landsat. Fo... + Read More"
"9","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7322","Forest Health","Focus is on the identification and management of diseases and insects that affect forest trees. Trees are graded for their potential as grow... + Read More"
"10","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","ENL7679","Communications for Forestry Technicians","Students develop workplace communication skills. Topics include written and oral reports; correspondence; technical writing style; resumes; ... + Read More"
"11","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7313","Geographic Information Systems","Analysis of digitized spatial data is presented. Students practise basic skills in manipulating and presenting data with emphasis on applica... + Read More"
"12","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7321","Mensuration","Students determine the growth and yield of trees and forest stands. Emphasis is placed on methods and techniques of various forest inventori... + Read More"
"13","Algonquin College","Forestry Technician","https://www.algonquincollege.com/pembroke/program/forestry-technician/","FOR7324","Silviculture","Students study silviculture systems, site preparation, reforestation, tending, thinning and vegetation control. Emphasis is placed on a good... + Read More"
