"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"2","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1507","Digital Imaging I","Students are introduced to concepts and tools used in the creation of digital images. A variety of software tools and techniques are introdu... + Read More"
"4","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1510","Game Design Foundations","Students develop a foundation in the theory and practice of game design. Topics include game characteristics, game mechanics, game theory, d... + Read More"
"5","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1545","Programming Fundamentals I","C++ is a mainstay object oriented (OO) programming language and is a foundation language of the game development industry. Best practices, s... + Read More"
"6","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","MAT8001G","Technical Mathematics for Game Development","Students learn foundational mathematics required in game development. Students manipulate algebraic expressions and solve linear equations a... + Read More"
"7","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","ENL2013","Communications II: Scriptwriting","Storytelling and the components of story are introduced. Students develop storytelling skills and an understanding of what story form is.  S... + Read More"
"8","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1508","Drawing Essentials","Through a specialized series of drawing exercises, students learn how to apply techniques in order to conceptualize, plan and communicate vi... + Read More"
"9","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1511","Interface Design","Design, layout, type, readability, color theory and interaction are the subject focus. Students learn to create interfaces for games that fo... + Read More"
"10","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1530","Psychology and Group Dynamics","Students examine some of the basic concepts of psychology, such as learning, motivation, perception, sensation, information processing, emot... + Read More"
"11","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1547","Programming Fundamentals II","Students enhance and reinforce their acquired knowledge by implementing basic algorithms and data structures using the C++ language. Topics ... + Read More"
"12","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1544","Game and Graphics Programming I","Students apply foundational mathematics required in game development. The programmatic manipulation of: algebraic expressions, solving linea... + Read More"
"13","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1570","Digital Imaging II","Students build on concepts presented in Digital Imaging I. A variety of software tools and techniques are introduced to enhance and alter ex... + Read More"
"14","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1512","Game Assets I","Game assets consist of all the virtual objects that make up the interesting and compelling visuals that are part of a modern 3D video game. ... + Read More"
"15","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1516","High Level Development I","Combined with knowledge of object-oriented design and object oriented programming, students integrate game play mechanics, non-player charac... + Read More"
"16","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1535","Technical Drawing","Students address the architectural context and functional requirements of interior spaces, as well as details of furnishing and decoration. ... + Read More"
"17","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1539","Level Design I","The fundamentals of level design for video games are introduced. Topics include genre analysis, game play styles and limitations, game play ... + Read More"
"18","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1571","Game and Graphics Programming II","Artificial Intelligence (AI) is a foundation cornerstone of game play that enhances the user experience. Students learn to analyze and formu... + Read More"
"19","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1572","Scripting for Designers","Game Designers use scripting languages in game creation to automate events, tune parameters, and create interaction between the player and g... + Read More"
"20","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1528","High Level Development II","Students continue to explore and apply aspects learned in High Level Development I. Focus is on leveraging that knowledge to create complex ... + Read More"
"21","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1574","Game Algorithms","Students learn how to deconstruct familiar game elements and formulate these elements into concepts and finally reconstruct these concepts i... + Read More"
"22","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1575","Cinematics","Students learn how to apply professional filmmaking techniques, rules and formulas in a video game environment using a full range of tools a... + Read More"
"23","Algonquin College","Game - Development","https://www.algonquincollege.com/mediaanddesign/program/game-development/","GAM1576","Game Assets II","3D Game Assets II builds on the knowledge learned and applied in Game Assets I. Increased emphasis is placed on the polishing and refinement... + Read More"
