"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8810","Private Pilot Ground School","Students prepare for the Transport Canada Private Pilot Licence written exam (PPAER). Subjects covered include: (i) Canadian aviation regula... + Read More"
"2","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8811","Flight Training I","Students develop the knowledge and skills necessary to operate an airplane at the level of proficiency required to complete all training up ... + Read More"
"3","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8812","Practical Skills Training I","Through opportunities to examine concepts that may qualify for industry certification, students begin work on their practical skills. Consid... + Read More"
"4","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8842","Safety Management Systems","The principles and processes used to establish and function within a safety system are integral to all aspects of practical skills training ... + Read More"
"5","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","DAT8810","Computer Business Applications","Students learn a variety of business software applications. Students produce assignments using the Microsoft Office suite of products. Brigh... + Read More"
"6","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","MAT8810","Mathematics Essentials I","Technical calculations are essential skills in the aviation field. Students first study the manipulation of numerical and algebraic expressi... + Read More"
"7","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8820","Commercial Pilot Ground School","Students develop the knowledge and skills required by a commercial pilot. Classes prepare students for completion of the Transport Canada Co... + Read More"
"8","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8821","Flight Training II","Students develop the advanced skills necessary to fly a fixed wing single engine aircraft to the level of proficiency of a Commercial Pilot ... + Read More"
"9","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8823","Aircraft Engines and Systems","Students examine the operating principles involved in the functions of an aircraft and its systems. Principles of physics, aerodynamics, ele... + Read More"
"10","Algonquin College","General Arts and Science - Aviation Management","https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/","AVI8843","Human Factors and Crew Resource Management","Effective and efficient functioning of a flight crew in the cockpit of a large aircraft requires important skills. Students consider the mul... + Read More"
