"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6101A","Basic Academic Reading Part A","Reading skills are necessary for academic and workplace success. Students use strategies to increase reading speed, comprehension and vocabu... + Read More"
"2","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6102A","Basic Academic Writing Part A","The ability to express oneself in writing is important for academic and career success. Using extensive feedback received from professors, s... + Read More"
"3","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6103A","Basic Academic Listening and Speaking Part A","The ability to understand oral speech and to express oneself accurately and fluently are the keys to successful communication in social, aca... + Read More"
"4","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6101B","Basic Academic Reading Part B","Reading skills are necessary for academic and workplace success. Students use strategies to further increase reading speed, comprehension an... + Read More"
"5","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6102B","Basic Academic Writing Part B","The ability to express oneself in writing is important for academic and career success. Using extensive feedback received from professors, s... + Read More"
"6","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6103B","Basic Academic Listening and Speaking Part B","The ability to understand oral speech and to express oneself accurately and fluently are the keys to successful communication in social, aca... + Read More"
"7","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL0300","Pronounciation Strategies","Clear pronunciation is an essential element of oral communication in social, academic and workplace settings. Students practice producing in... + Read More"
"8","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6201A","Intermediate Academic Reading Part A","Strong reading skills are essential for success in academic and workplace environments. Students increase reading comprehension, fluency and... + Read More"
"9","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6202A","Intermediate Academic Writing Part A","Clear and accurate writing is required in academic and workplace environments. Students learn and use an increasingly wide range of sentence... + Read More"
"10","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6203A","Intermediate Academic Listening and Speaking Part A","Listening comprehension skills, as well as clear and accurate self-expression are essential for effective communication in social, academic ... + Read More"
"11","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6201B","Intermediate Academic Reading Part B","Strong reading skills are essential for success in academic and workplace environments. Students further improve reading comprehension, flue... + Read More"
"12","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6202B","Intermediate Academic Writing Part B","Clear and accurate writing is required in academic and workplace environments. Students learn and use an increasingly wide range of sentence... + Read More"
"13","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6203B","Intermediate Academic Listening and Speaking Part B","Listening comprehension skills, as well as clear and accurate self-expression are essential for effective communication in social, academic ... + Read More"
"14","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL0304","Discover Ottawa","Being immersed in an English-speaking city provides an opportunity for English-language students to practice language in an authentic way. T... + Read More"
"15","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6301A","Advanced Academic Reading Part A","Advanced reading skills are essential for success in post-secondary academic settings and workplace environments. Students go beyond standar... + Read More"
"16","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6302A","Advanced Academic Writing Part A","Strong writing skills are necessary to communicate effectively in academic and professional environments. Students examine and apply a varie... + Read More"
"17","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6303A","Advanced Academic Listening and Speaking Part A","Advanced skills in oral communication are fundamental to success in social, academic and professional settings. Students explore content fro... + Read More"
"18","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","GEN2003L","Healthy Lifestyle","Are you eating healthy foods? Do you exercise regularly? Do you know how to prevent injuries and disease? These are some of the skills neces... + Read More"
"19","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","GED1438","General Education Elective","For this course, you will have the opportunity to choose one from a group of general education electives.  Your options will include courses... + Read More"
"20","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6301B","Advanced Academic Reading Part B","Advanced reading skills are essential for success in post-secondary academic settings and workplace environments. Students explore content t... + Read More"
"21","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6302B","Advanced Academic Writing Part B","Strong writing skills are necessary to communicate effectively in academic and professional environments. Students examine and select organi... + Read More"
"22","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL6303B","Advanced Academic Listening and Speaking Part B","Advanced skills in oral communication are fundamental to success in social, academic and professional settings. Students listen to authentic... + Read More"
"23","Algonquin College","General Arts and Science - English for Academic Purposes (International)","https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/","ESL0305","Using English Beyond the Classroom","Successful interaction with native speakers of English outside the classroom helps students build fluency and increase self-confidence. Stud... + Read More"
