"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","DAT5758A","Computer Applications","The effective use of industry-standard software is vital to career success. Emphasis is placed on the production of professional looking mul... + Read More"
"2","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","ENL5000G","Communication Skills","Effective workplace communication skills are required by all graduates. Emphasis is placed on workplace correspondence, job search strategie... + Read More"
"3","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","PSY0033","Psychology: Basic Processes","Pursuing careers that involve working with people requires an understanding of basic psychological processes. Students learn core theories a... + Read More"
"4","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SOC0009","Understanding Social Life","Society affects every aspect of our lives, from our behaviour in public, to our thoughts in private. Students develop a deeper understanding... + Read More"
"5","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SSC0101","Essential Skills for Success","Students entering college for the first time need to acquire the necessary skills to be independent learners. Focus is on how to use textboo... + Read More"
"6","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SSC0102","Ice House Success Strategies","An entrepreneurial mindset can empower ordinary people to accomplish the extraordinary.  Students learn about the entrepreneurial person and... + Read More"
"7","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SSC1706","Human Sexuality I","Human sexuality plays a major role in everyone's life and is an integral part of what we do and who we are. Through a combination of lecture... + Read More"
"8","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","PSY0034","Psychology: Applied Theories","For students interested in pursuing careers working with people, knowledge of psychological concepts in a variety of areas such as learning,... + Read More"
"9","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SOC0010","Exploring Social Institutions","We move through various social institutions each day - from family, to school, work and voluntary organizations - but rarely reflect on the ... + Read More"
"10","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SSC0063","The Dynamics of Addiction","Addiction and its effects play a major role in many lives. Students explore the addiction spiral and the resulting impacts on the individual... + Read More"
"11","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SSC1714","Ethics","A comprehensive understanding of ethical issues and the ability to employ moral reasoning are essential skills in education and employment f... + Read More"
"12","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","PSY0004","Child Development","Understanding how children grow and learn is important knowledge for everyone to have; it supports the development of healthy families and c... + Read More"
"13","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","SSC1707","Human Sexuality II","Students encounter a theoretical and empirical examination of the darker, less visible and more complex side of human sexuality. Topics incl... + Read More"
"14","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","ENL1813E","Communications I - Entrepreneurial Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"15","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","ENL1813K","Communications I - Collaborative Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"16","Algonquin College","General Arts and Science - One Year - Community Studies","https://www.algonquincollege.com/generalarts/program/community-studies/","ENL1813R","Communications I - Academic Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
