"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0015","Environment Design I","Developing worlds is the cornerstone of the concept artist's work. By gaining an understanding of composition, perspective and ergonomics, s... + Read More"
"2","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0016","Character Design I","Character development is a crucial part of the fictional world that the entertainment industry creates. Online and in-class material support... + Read More"
"3","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0017","Fundamentals of Light and Value","Essential to all images is the understanding of values. Using a blend of traditional theory and digital tools, students learn to create the ... + Read More"
"4","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0018","Life Drawing I","The foundation of character development depends on the acquired knowledge of the human form through study and observation. Using sight measu... + Read More"
"5","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0027","Photoshop for Concept Design","Adobe Photoshop is a vital tool for digital artists. This vast software is applicable in many fields of art and is a standard in studios aro... + Read More"
"6","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","DAT5758A","Computer Applications","The effective use of industry-standard software is vital to career success. Emphasis is placed on the production of professional looking mul... + Read More"
"7","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ENL5000G","Communication Skills","Effective workplace communication skills are required by all graduates. Emphasis is placed on workplace correspondence, job search strategie... + Read More"
"8","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0020","Environment Design II","Having a variety of stunning and original environments is a key advantage for any portfolio. Students push the level of view selection and d... + Read More"
"9","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0021","Character and Creature Design II","Characters and creatures evolve from the parameters of the story and fictional world they inhabit. With this in mind, students continue the ... + Read More"
"10","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0023","Portfolio and Professional Development","First impressions can make all the difference when applying for further studies or building your professional network. Through in-class lect... + Read More"
"11","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0024","Life Drawing II","Students continue to develop knowledge of the body and how it relates to character design. Through the understanding of portrait development... + Read More"
"12","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ART0026","Fundamentals of Light and Colour","Traditional and digital colour theory are explored as they relate to digital painting and composition. Building on a foundation in rendering... + Read More"
"13","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","ENL1813K","Communications I - Collaborative Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"14","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","SSC0083","Creative Thinking","Thinking creatively is the most important skill a concept artist can bring to any project in the industry. Through a series of in-class exer... + Read More"
"15","Algonquin College","General Arts and Science - One Year - Concept Art Foundations","https://www.algonquincollege.com/generalarts/program/concept-art-foundations/","SSC0102","Ice House Success Strategies","An entrepreneurial mindset can empower ordinary people to accomplish the extraordinary.  Students learn about the entrepreneurial person and... + Read More"
