"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","BIO0001","Environmental Biology","Biology is essential in our understanding of the natural world and the environmental issues that the world faces. Integrating theory and app... + Read More"
"2","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","DAT5758A","Computer Applications","The effective use of industry-standard software is vital to career success. Emphasis is placed on the production of professional looking mul... + Read More"
"3","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENL5000G","Communication Skills","Effective workplace communication skills are required by all graduates. Emphasis is placed on workplace correspondence, job search strategie... + Read More"
"4","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENV0010E","Environmental Citizenship","Based on the general principles of national citizenship, environmental citizenship goes beyond national borders to emphasize global environm... + Read More"
"5","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENV0013","Environmental Earth Science","From the Earth's deep inner core to its continents, oceans and atmosphere, students gain an understanding of the planet we call home. They e... + Read More"
"6","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","GED0020","Entrepreneurial Mindset","How do entrepreneurs identify opportunities that others overlook? What are the underlying beliefs and assumptions that enable them to succee... + Read More"
"7","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENV0006","Ecology and Biodiversity","Students explore the fascinating interactions that take place between Earth's organisms and their environment. Students gain a rich apprecia... + Read More"
"8","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENV0007","Approaches to Sustainability","Responding to environmental degradation is one of humanity's greatest challenges. Students learn important principles and concepts intended ... + Read More"
"9","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENV0014","Economics and the Environment","Our present-day economic system relies on human work and natural resources to sustain our modern lifestyles. Students compare our present wa... + Read More"
"10","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","MAT0013","Math for Environmental Studies","We all use math every day, therefore a solid understanding of the fundamental principles is essential for success within any environmental f... + Read More"
"11","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","SCI0002","Environmental Chemistry","Chemical principles important for biology and the environment are emphasized. Students learn about atomic and molecular structure, the perio... + Read More"
"12","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENL1813E","Communications I - Entrepreneurial Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"13","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENL1813K","Communications I - Collaborative Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"14","Algonquin College","General Arts and Science - One Year - Environmental Studies","https://www.algonquincollege.com/generalarts/program/environmental-studies/","ENL1813R","Communications I - Academic Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
