"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI0023","Field Sketching","Life drawing is a fundamental skill for creating authenticity in art pieces. Students develop memory drawing techniques and gesture drawing ... + Read More"
"2","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI0024","Understanding 3D Forms","An artist's strength in visualizing 3D forms is one of the keys to being able to draw characters from any angle.  Students learn about anato... + Read More"
"3","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI1600","Layout Design I","Strong design skills are required for solid layout design for animation and illustration. Students gain an understanding of perspective, sta... + Read More"
"4","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI1601","Character Design I","Solid character design is a requirement in all drawing-related fields. Students learn to create a variety of character designs through tradi... + Read More"
"5","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI1602","Life Drawing I","Drawing from observation and the human form is essential to developing strong drawing skills for the animation and illustration industry. St... + Read More"
"6","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","DAT5758A","Computer Applications","The effective use of industry-standard software is vital to career success. Emphasis is placed on the production of professional looking mul... + Read More"
"7","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ENL5000G","Communication Skills","Effective workplace communication skills are required by all graduates. Emphasis is placed on workplace correspondence, job search strategie... + Read More"
"8","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI0017","Portfolio Preparation","A solid and appealing portfolio is the student's gateway to academic advancement and employment. Focus is on professional scanning, image ma... + Read More"
"9","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI1610","Layout Design II","Strong design skills are required for solid layout design for animation and illustration. Students create complex layout design concepts and... + Read More"
"10","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI1611","Character Design II","Solid character design is a requirement in all drawing related fields. Students create complex 12-character design concepts and themes throu... + Read More"
"11","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ANI1612","Life Drawing II","Drawing from observation and the human form is essential to developing strong drawing skills for the animation and illustration industry. St... + Read More"
"12","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","GED0020","Entrepreneurial Mindset","How do entrepreneurs identify opportunities that others overlook? What are the underlying beliefs and assumptions that enable them to succee... + Read More"
"13","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ENL1813E","Communications I - Entrepreneurial Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"14","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ENL1813K","Communications I - Collaborative Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"15","Algonquin College","General Arts and Science - One Year - Pre-Animation and Illustration","https://www.algonquincollege.com/generalarts/program/pre-animation-and-illustration/","ENL1813R","Communications I - Academic Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
