"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","CST8174","Computer Technology Basics","Emphasis is placed on personal computer (PC) hardware and technologies. Course content includes the basics of how computers work, how they a... + Read More"
"2","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","DAT5758A","Computer Applications","The effective use of industry-standard software is vital to career success. Emphasis is placed on the production of professional looking mul... + Read More"
"3","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","ENL5000G","Communication Skills","Effective workplace communication skills are required by all graduates. Emphasis is placed on workplace correspondence, job search strategie... + Read More"
"4","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","GED0020","Entrepreneurial Mindset","How do entrepreneurs identify opportunities that others overlook? What are the underlying beliefs and assumptions that enable them to succee... + Read More"
"5","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","MAT0014","Mathematics I","A firm foundation in mathematics is crucial to studying and working in technology and business fields. Students solidify their understanding... + Read More"
"6","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","SCI5900","Science for Technology I","A sound understanding of concepts in the physical sciences is essential to working in many technological fields. Through a combination of le... + Read More"
"7","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","CAD0002","Introduction to AutoCAD","Students develop a basic understanding of AutoCAD and why it is an indispensable tool in many working situations. They also develop an appre... + Read More"
"8","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","CST0006","Computer Programming Foundations","Learn fundamental problem-solving and testing methodologies used by today's software developers.  Basic programming contracts (including var... + Read More"
"9","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","ELN8613","Basic Electronic Assembly","Students are exposed to soldering techniques. Brief lecture sessions provide the theoretical background followed by practical skills demonst... + Read More"
"10","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","MAT0015","Mathematics II","A deeper understanding of more complex mathematical processes is essential to studying and working in the technology and business fields. St... + Read More"
"11","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","SCI5901","Science for Technology II","An understanding of physics provides a foundation for comprehending modern technology. Students explore topics, such as waves, sound, light,... + Read More"
"12","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","ENL1813E","Communications I - Entrepreneurial Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"13","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","ENL1813K","Communications I - Collaborative Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"14","Algonquin College","General Arts and Science - One Year - Pre-Technology","https://www.algonquincollege.com/generalarts/program/pre-technology/","ENL1813R","Communications I - Academic Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
