"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","DAT5758A","Computer Applications","The effective use of industry-standard software is vital to career success. Emphasis is placed on the production of professional looking mul... + Read More"
"2","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","ENL5000G","Communication Skills","Effective workplace communication skills are required by all graduates. Emphasis is placed on workplace correspondence, job search strategie... + Read More"
"3","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","GAS0041","Building Construction Lab","Understanding framing techniques is an important part of being a construction carpenter. Students are provided hands-on experience in basic ... + Read More"
"4","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","GAS0042","Cabinet and Furniture Making Lab","Exposure to the fundamentals of solid wood construction is essential in the field of cabinet and furniture making. Students experience the s... + Read More"
"5","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","GAS0043","Plumbing Exploration Lab","Using materials common in the plumbing trade, students explore the various ways that fresh and waste water systems are constructed. Gaining ... + Read More"
"6","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","GAS0047","Building Construction Theory","Focus is on the theory of building construction. Students gain an understanding of safe worksite practices, as well as the job requirements ... + Read More"
"7","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","GAS0048","Cabinet and Furniture Making Theory","Students learn the types of wood and tools used in solid wood construction. Students also become aware of the employment potential in the fi... + Read More"
"8","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","GAS0049","Plumbing Theory","Plumbers are required to follow plans that are used to guide the installation of the delivery and removal of fresh and waste water. Students... + Read More"
"9","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","MAT0007","Mathematics for Pre-Trades I","Every day, plumbers, welders, machinists, furniture makers and other tradesmen use mathematics on the job. Knowing how to effectively and ac... + Read More"
"10","Algonquin College","General Arts and Science - One Year - Pre-Trades","https://www.algonquincollege.com/generalarts/program/pre-trades/","SSC0102","Ice House Success Strategies","An entrepreneurial mindset can empower ordinary people to accomplish the extraordinary.  Students learn about the entrepreneurial person and... + Read More"
