"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","ECO0001","Economics and the Global Marketplace","We have all heard the terms global economy, world markets, trade deficits and free market democracy. We hear them used regularly in newspape... + Read More"
"2","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","ENL1981","Reading and Writing Prose","The ability to read with acuity and to write with clarity and precision are key skills in both the workplace and in further education. The f... + Read More"
"3","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","PSY0023","Organizational Psychology","The understanding of individual and group behavior is essential for the development and maintenance of healthy social interactions and survi... + Read More"
"4","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0045","World Conflict and International Relations","We are often inundated with stories and images of conflicts occurring between local, national and international actors. Understanding events... + Read More"
"5","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0061","Methods of Inquiry","Advanced skills in research are essential for job choice and for success in further studies. Students set research objectives, design person... + Read More"
"6","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","ART0025","Behind the Scenes","We live in a country that is immersed in rich, vibrant arts and culture. Students are granted an extraordinary opportunity to examine a vari... + Read More"
"7","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SCI1596","Nutrition","Nutritional sciences from both a historical and modern perspective are introduced. Major themes include the nutritional and functional prope... + Read More"
"8","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0104","Redefining Indigenous & Canadian Relationships","A sense of personal and social responsibility is essential for developing reconciliation toward a healthy new relationship that is based on ... + Read More"
"9","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0025","Fundamentals of Philosophy","The philosopher searches for wisdom and truth examining and justifying beliefs and assumptions about some of the most basic issues relating ... + Read More"
"10","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0086","Community Engagement","Engaging with local and global communities and contributing to society in a meaningful way foster a sense of personal and social responsibil... + Read More"
"11","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0096","Human Rights","Human Rights is a broad discipline that impacts most aspects of our modern world. While a relatively new academic discipline, its impact on ... + Read More"
"12","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC1767","The Cultural Mosaic","Examining the impact of cultural diversity in society allows for more effective dealings with cross-cultural situations. The history of inte... + Read More"
"13","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","PSY0022","Positive Psychology","What does it mean to be truly happy? How can we live our lives full of satisfaction and meaning? Positive Psychology is a dynamic new area t... + Read More"
"14","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","SSC0081","International Studies","Understanding life in an increasingly globalized world is paramount. Students learn about the relationships that cross national and regional... + Read More"
"15","Algonquin College","General Arts and Science - Year II","https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/","GED0438","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
