"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4107","Introduction to Programming","Programming skills are required to customize GIS software and to automate geoprocessing. Students explore programming fundamentals including... + Read More"
"2","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4110","GIS Foundation Skills","Students learn and develop foundation skills using desktop and online GIS software. They learn to select suitable formats for storage of spa... + Read More"
"3","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4111","Spatial Data and Data Collection","Knowledge of map interpretation, projections and coordinate systems is essential in GIS. Students examine global geometry and coordinate sys... + Read More"
"4","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4112","Statistics and Data Representation","An understanding of data characteristics is required to create effective geographic representations and analyses. Students explore the relat... + Read More"
"5","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4113","Database Design and Management","Database design and management is an integral part of GIS. Students are introduced to database design and management concepts. Students gain... + Read More"
"6","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4204","Introduction to Remote Sensing","Remote sensing is a major component of GIS. Students explore the principles of image acquisition from airborne and space sensors. Topics inc... + Read More"
"7","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4205","Digital Map Compilation","Awareness of the characteristics of CAD data formats is important when working in the GIS field. Using CAD software, students construct, man... + Read More"
"8","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4207","GIS Customization 1","Programming skills are required to customize GIS software and to automate geoprocessing. Students automate geoprocessing tasks and build cus... + Read More"
"9","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4210","Cartographic Design and VIsualization","Knowledge of design principles is integral to the presentation of geographic information. Students investigate design issues in thematic map... + Read More"
"10","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4211","Geospatial Analytical Methods","Students examine various analytical principles and techniques for spatial problem solving. Students transform spatial data using various app... + Read More"
"11","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4212","GIS Applications and Project Planning","Awareness of the various approaches to GIS project design and applications of GIS technology helps students prepare for their own independen... + Read More"
"12","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4304","Remote Sensing 2","Remote sensing is a major component of GIS. Students investigate advanced classification procedures, texture measures, change detection, col... + Read More"
"13","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4307","GIS Customization 2","Programming skills are required to customize GIS software and to automate geoprocessing. Students customize GIS software and build various s... + Read More"
"14","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4308","Web GIS Applications","The web is an increasingly important platform for analyzing and viewing geographic data.  Students learn to serve geographic information usi... + Read More"
"15","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","GIS4309","GIS Project","Executing an independent GIS project builds soft skills and provides students with an opportunity to showcase their abilities to the wider G... + Read More"
"16","Algonquin College","Geographic Information Systems (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/geographic-information-systems/","WKT8001","Work Term I","Students complete a cooperative work term, and submit a written report which documents the location of employment and the duties performed.... + Read More"
