"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1560","Typography I","Typography, the study of lettering and writing, is an essential element of graphic design. Students study typographic history, terminology, ... + Read More"
"2","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1561","Graphic Design I","Graphic Design is the study of visual communication that combines images, words and ideas to convey information to an audience, especially t... + Read More"
"3","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1562","Computer Graphics I","The field of computer graphics consists of page layout, illustration and photo manipulation. Page layout is the hub for illustrations and ph... + Read More"
"4","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1674","Web Development I","Web development is the production of functional, interactive websites accomplished through the use of the HTML and CSS coding languages. Usi... + Read More"
"5","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1697","Concept Sketching I","Drawing and sketching is fundamental to graphic design. Learning how to draw means learning how to see. Sketching allows a designer to quick... + Read More"
"6","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"7","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"8","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","GED0020","Entrepreneurial Mindset","How do entrepreneurs identify opportunities that others overlook? What are the underlying beliefs and assumptions that enable them to succee... + Read More"
"9","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1565","Graphic Design II","Continuing with the art and practice of planning and projecting ideas and experiences with visual and textual content. Students have an oppo... + Read More"
"10","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1566","Typography II","Students implement the basic concepts of typography in their design layouts to visually communicate meaning. Students use proper typesetting... + Read More"
"11","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1567","Computer Graphics II","Documents created in the studio environment need to comply with industry standards. Emphasis is placed on the importance of file management ... + Read More"
"12","Algonquin College","Graphic Design","https://www.algonquincollege.com/mediaanddesign/program/graphic-design/","DSN1568","Interaction Design I","Interaction Design is the study of human interaction with digital products and services. Students are introduced to a user-centered approach... + Read More"
